с,code
0,31
4.16667E-05,42
8.33333E-05,59
0.000125,66
0.000166667,44
0.000208333,42
0.00025,76
0.000291667,91
0.000333333,58
0.000375,34
0.000416667,73
0.000458333,114
0.0005,105
0.000541667,71
0.000583333,56
0.000625,57
0.000666667,74
0.000708333,119
0.00075,150
0.000791667,112
0.000833333,37
0.000875,-10
0.000916667,-31
0.000958333,-60
0.001,-94
0.00104167,-103
0.00108333,-72
0.001125,13
0.00116667,143
0.00120833,248
0.00125,250
0.00129167,166
0.00133333,52
0.001375,-41
0.00141667,-96
0.00145833,-73
0.0015,27
0.00154167,138
0.00158333,269
0.001625,489
0.00166667,760
0.00170833,966
0.00175,1121
0.00179167,1326
0.00183333,1593
0.001875,1828
0.00191667,2044
0.00195833,2328
0.002,2653
0.00204167,2943
0.00208333,3214
0.002125,3491
0.00216667,3736
0.00220833,3940
0.00225,4107
0.00229167,4244
0.00233333,4390
0.002375,4583
0.00241667,4840
0.00245833,5144
0.0025,5472
0.00254167,5827
0.00258333,6196
0.002625,6530
0.00266667,6739
0.00270833,6830
0.00275,6918
0.00279167,7036
0.00283333,7116
0.002875,7118
0.00291667,7073
0.00295833,7003
0.003,6903
0.00304167,6762
0.00308333,6513
0.003125,6064
0.00316667,5375
0.00320833,4503
0.00325,3524
0.00329167,2456
0.00333333,1347
0.003375,222
0.00341667,-976
0.00345833,-2280
0.0035,-3693
0.00354167,-5206
0.00358333,-6842
0.003625,-8181
0.00366667,-8201
0.00370833,-8201
0.00375,-8201
0.00379167,-8201
0.00383333,-8201
0.003875,-8201
0.00391667,-8201
0.00395833,-8201
0.004,-8201
0.00404167,-8201
0.00408333,-8201
0.004125,-8201
0.00416667,-8201
0.00420833,-8201
0.00425,-8201
0.00429167,-8201
0.00433333,-8201
0.004375,-8201
0.00441667,-8201
0.00445833,-8201
0.0045,-8201
0.00454167,-8201
0.00458333,-8201
0.004625,-8184
0.00466667,-7918
0.00470833,-7596
0.00475,-7289
0.00479167,-6994
0.00483333,-6713
0.004875,-6440
0.00491667,-6182
0.00495833,-5430
0.005,-4049
0.00504167,-2768
0.00508333,-1619
0.005125,-600
0.00516667,812
0.00520833,2533
0.00525,4114
0.00529167,5604
0.00533333,6987
0.005375,8067
0.00541667,8182
0.00545833,8182
0.0055,8182
0.00554167,8182
0.00558333,8182
0.005625,8182
0.00566667,8182
0.00570833,8182
0.00575,8182
0.00579167,8182
0.00583333,8182
0.005875,8182
0.00591667,8182
0.00595833,8182
0.006,8182
0.00604167,8071
0.00608333,6593
0.006125,4618
0.00616667,2527
0.00620833,404
0.00625,-1662
0.00629167,-3601
0.00633333,-5370
0.006375,-6889
0.00641667,-8021
0.00645833,-8201
0.0065,-8201
0.00654167,-8201
0.00658333,-8201
0.006625,-8223
0.00666667,-7604
0.00670833,-6520
0.00675,-5279
0.00679167,-3957
0.00683333,-2593
0.006875,-1183
0.00691667,263
0.00695833,1683
0.007,3059
0.00704167,4454
0.00708333,5922
0.007125,7396
0.00716667,8160
0.00720833,8160
0.00725,8160
0.00729167,8160
0.00733333,8160
0.007375,8160
0.00741667,8160
0.00745833,8160
0.0075,8160
0.00754167,8138
0.00758333,6590
0.007625,4373
0.00766667,1963
0.00770833,-549
0.00775,-3071
0.00779167,-5530
0.00783333,-7744
0.007875,-8223
0.00791667,-8223
0.00795833,-8223
0.008,-8223
0.00804167,-8223
0.00808333,-8223
0.008125,-8223
0.00816667,-8223
0.00820833,-7424
0.00825,-6299
0.00829167,-5286
0.00833333,-4378
0.008375,-3567
0.00841667,-2843
0.00845833,-2200
0.0085,-1625
0.00854167,-1118
0.00858333,-666
0.008625,-102
0.00866667,410
0.00870833,808
0.00875,1131
0.00879167,1377
0.00883333,1563
0.008875,1704
0.00891667,1832
0.00895833,1981
0.009,2166
0.00904167,2372
0.00908333,2577
0.009125,2782
0.00916667,2983
0.00920833,3164
0.00925,3306
0.00929167,3382
0.00933333,3373
0.009375,3285
0.00941667,3126
0.00945833,2882
0.0095,2538
0.00954167,2098
0.00958333,1601
0.009625,1062
0.00966667,488
0.00970833,-95
0.00975,-536
0.00979167,-593
0.00983333,-438
0.009875,-264
0.00991667,-105
0.00995833,38
0.01,162
0.0100417,271
0.0100833,366
0.010125,449
0.0101667,519
0.0102083,579
0.01025,628
0.0102917,670
0.0103333,706
0.010375,734
0.0104167,755
0.0104583,771
0.0105,783
0.0105417,790
0.0105833,793
0.010625,794
0.0106667,790
0.0107083,893
0.01075,1502
0.0107917,2051
0.0108333,2516
0.010875,2919
0.0109167,3272
0.0109583,3562
0.011,3768
0.0110417,3913
0.0110833,4033
0.011125,4130
0.0111667,4191
0.0112083,4224
0.01125,4265
0.0112917,4324
0.0113333,4386
0.011375,4464
0.0114167,4560
0.0114583,4652
0.0115,4703
0.0115417,4720
0.0115833,4679
0.011625,4551
0.0116667,4334
0.0117083,4021
0.01175,3610
0.0117917,3092
0.0118333,2426
0.011875,1586
0.0119167,591
0.0119583,-531
0.012,-1778
0.0120417,-3124
0.0120833,-4471
0.012125,-5714
0.0121667,-6797
0.0122083,-7670
0.01225,-8195
0.0122917,-8223
0.0123333,-8223
0.012375,-8223
0.0124167,-8176
0.0124583,-7775
0.0125,-7214
0.0125417,-6586
0.0125833,-5921
0.012625,-5228
0.0126667,-4523
0.0127083,-3820
0.01275,-3145
0.0127917,-2483
0.0128333,-1820
0.012875,-1163
0.0129167,-527
0.0129583,64
0.013,612
0.0130417,1143
0.0130833,1661
0.013125,2151
0.0131667,2606
0.0132083,3046
0.01325,3482
0.0132917,3904
0.0133333,4292
0.013375,4645
0.0134167,4964
0.0134583,5257
0.0135,5518
0.0135417,5745
0.0135833,5956
0.013625,6182
0.0136667,6406
0.0137083,6591
0.01375,6735
0.0137917,6867
0.0138333,6970
0.013875,7002
0.0139167,6972
0.0139583,6901
0.014,6779
0.0140417,6579
0.0140833,6305
0.014125,5984
0.0141667,5622
0.0142083,5204
0.01425,4710
0.0142917,4140
0.0143333,3446
0.014375,2607
0.0144167,1669
0.0144583,681
0.0145,-373
0.0145417,-1517
0.0145833,-2713
0.014625,-3900
0.0146667,-5075
0.0147083,-6259
0.01475,-7418
0.0147917,-8223
0.0148333,-8223
0.014875,-8223
0.0149167,-8223
0.0149583,-8223
0.015,-8223
0.0150417,-8223
0.0150833,-8223
0.015125,-8223
0.0151667,-8223
0.0152083,-8223
0.01525,-8222
0.0152917,-7459
0.0153333,-6394
0.015375,-5304
0.0154167,-4216
0.0154583,-3136
0.0155,-2056
0.0155417,-970
0.0155833,118
0.015625,1182
0.0156667,2213
0.0157083,3212
0.01575,4208
0.0157917,5218
0.0158333,6219
0.015875,7193
0.0159167,8032
0.0159583,8160
0.016,8160
0.0160417,8160
0.0160833,8160
0.016125,8160
0.0161667,8160
0.0162083,8160
0.01625,8160
0.0162917,8160
0.0163333,8160
0.016375,8160
0.0164167,8160
0.0164583,8160
0.0165,8160
0.0165417,8160
0.0165833,8160
0.016625,8160
0.0166667,8160
0.0167083,8160
0.01675,8160
0.0167917,8160
0.0168333,8160
0.016875,8160
0.0169167,8160
0.0169583,8160
0.017,8160
0.0170417,8160
0.0170833,8160
0.017125,8160
0.0171667,8160
0.0172083,8160
0.01725,8160
0.0172917,7965
0.0173333,7653
0.017375,7352
0.0174167,6129
0.0174583,4010
0.0175,1819
0.0175417,-324
0.0175833,-2340
0.017625,-4182
0.0176667,-5837
0.0177083,-7295
0.01775,-8223
0.0177917,-8223
0.0178333,-8223
0.017875,-8223
0.0179167,-8223
0.0179583,-8223
0.018,-8223
0.0180417,-8223
0.0180833,-8223
0.018125,-8223
0.0181667,-8223
0.0182083,-8223
0.01825,-7992
0.0182917,-7598
0.0183333,-7302
0.018375,-7079
0.0184167,-6914
0.0184583,-6834
0.0185,-6878
0.0185417,-7023
0.0185833,-7182
0.018625,-7288
0.0186667,-7335
0.0187083,-7358
0.01875,-7372
0.0187917,-7350
0.0188333,-7230
0.018875,-6997
0.0189167,-6709
0.0189583,-6367
0.019,-5936
0.0190417,-5409
0.0190833,-4847
0.019125,-4319
0.0191667,-3836
0.0192083,-3433
0.01925,-3173
0.0192917,-3057
0.0193333,-3071
0.019375,-3237
0.0194167,-3595
0.0194583,-4141
0.0195,-4846
0.0195417,-5708
0.0195833,-6731
0.019625,-7831
0.0196667,-8223
0.0197083,-8223
0.01975,-8223
0.0197917,-8223
0.0198333,-8223
0.019875,-8223
0.0199167,-8223
0.0199583,-8223
0.02,-8223
0.0200417,-8223
0.0200833,-8223
0.020125,-8220
0.0201667,-6836
0.0202083,-4772
0.02025,-2518
0.0202917,-170
0.0203333,2214
0.020375,4563
0.0204167,6789
0.0204583,8160
0.0205,8160
0.0205417,8160
0.0205833,8160
0.020625,8160
0.0206667,8160
0.0207083,8160
0.02075,8160
0.0207917,8160
0.0208333,8160
0.020875,8160
0.0209167,8160
