с,code
0,33
4.16667E-05,41
8.33333E-05,61
0.000125,98
0.000166667,95
0.000208333,59
0.00025,89
0.000291667,141
0.000333333,105
0.000375,36
0.000416667,79
0.000458333,191
0.0005,210
0.000541667,134
0.000583333,79
0.000625,75
0.000666667,82
0.000708333,116
0.00075,182
0.000791667,195
0.000833333,116
0.000875,47
0.000916667,32
0.000958333,-20
0.001,-173
0.00104167,-321
0.00108333,-357
0.001125,-275
0.00116667,-98
0.00120833,123
0.00125,250
0.00129167,205
0.00133333,40
0.001375,-151
0.00141667,-332
0.00145833,-477
0.0015,-516
0.00154167,-475
0.00158333,-393
0.001625,-162
0.00166667,240
0.00170833,583
0.00175,763
0.00179167,956
0.00183333,1282
0.001875,1569
0.00191667,1744
0.00195833,1975
0.002,2334
0.00204167,2683
0.00208333,2991
0.002125,3366
0.00216667,3767
0.00220833,4050
0.00225,4217
0.00229167,4314
0.00233333,4379
0.002375,4450
0.00241667,4597
0.00245833,4870
0.0025,5191
0.00254167,5554
0.00258333,6017
0.002625,6519
0.00266667,6877
0.00270833,7014
0.00275,7070
0.00279167,7158
0.00283333,7174
0.002875,7044
0.00291667,6862
0.00295833,6721
0.003,6599
0.00304167,6452
0.00308333,6268
0.003125,5945
0.00316667,5378
0.00320833,4558
0.00325,3584
0.00329167,2479
0.00333333,1221
0.003375,-85
0.00341667,-1381
0.00345833,-2704
0.0035,-4077
0.00354167,-5505
0.00358333,-7017
0.003625,-8203
0.00366667,-8203
0.00370833,-8203
0.00375,-8203
0.00379167,-8203
0.00383333,-8203
0.003875,-8203
0.00391667,-8203
0.00395833,-8203
0.004,-8203
0.00404167,-8203
0.00408333,-8203
0.004125,-8203
0.00416667,-8203
0.00420833,-8203
0.00425,-8203
0.00429167,-8203
0.00433333,-8203
0.004375,-8203
0.00441667,-8203
0.00445833,-8203
0.0045,-8203
0.00454167,-8203
0.00458333,-8203
0.004625,-8069
0.00466667,-7741
0.00470833,-7427
0.00475,-7126
0.00479167,-6839
0.00483333,-6563
0.004875,-6299
0.00491667,-6019
0.00495833,-4981
0.005,-3620
0.00504167,-2378
0.00508333,-1267
0.005125,-285
0.00516667,580
0.00520833,1341
0.00525,2046
0.00529167,3447
0.00533333,4968
0.005375,6326
0.00541667,7622
0.00545833,8180
0.0055,8180
0.00554167,8180
0.00558333,8180
0.005625,8180
0.00566667,8180
0.00570833,8180
0.00575,8180
0.00579167,8180
0.00583333,8180
0.005875,8180
0.00591667,8180
0.00595833,8180
0.006,8180
0.00604167,8070
0.00608333,6839
0.006125,5116
0.00616667,3161
0.00620833,1132
0.00625,-820
0.00629167,-2648
0.00633333,-4311
0.006375,-5697
0.00641667,-6731
0.00645833,-7441
0.0065,-7759
0.00654167,-7306
0.00658333,-6320
0.006625,-5299
0.00666667,-4360
0.00670833,-3513
0.00675,-2755
0.00679167,-2081
0.00683333,-1483
0.006875,-697
0.00691667,1028
0.00695833,2754
0.007,4344
0.00704167,5924
0.00708333,7610
0.007125,8180
0.00716667,8180
0.00720833,8180
0.00725,8180
0.00729167,8180
0.00733333,8180
0.007375,8180
0.00741667,8180
0.00745833,8180
0.0075,8180
0.00754167,8180
0.00758333,6927
0.007625,4058
