с,code
0,40
4.16667E-05,54
8.33333E-05,63
0.000125,53
0.000166667,36
0.000208333,59
0.00025,101
0.000291667,117
0.000333333,95
0.000375,75
0.000416667,77
0.000458333,87
0.0005,98
0.000541667,99
0.000583333,86
0.000625,81
0.000666667,100
0.000708333,121
0.00075,98
0.000791667,34
0.000833333,-36
0.000875,-58
0.000916667,-21
0.000958333,56
0.001,131
0.00104167,186
0.00108333,210
0.001125,202
0.00116667,183
0.00120833,152
0.00125,128
0.00129167,123
0.00133333,147
0.001375,236
0.00141667,395
0.00145833,566
0.0015,679
0.00154167,754
0.00158333,881
0.001625,1072
0.00166667,1252
0.00170833,1415
0.00175,1625
0.00179167,1900
0.00183333,2192
0.001875,2475
0.00191667,2761
0.00195833,3053
0.002,3327
0.00204167,3554
0.00208333,3738
0.002125,3927
0.00216667,4131
0.00220833,4335
0.00225,4531
0.00229167,4778
0.00233333,5094
0.002375,5428
0.00241667,5725
0.00245833,5956
0.0025,6140
0.00254167,6326
0.00258333,6519
0.002625,6671
0.00266667,6741
0.00270833,6789
0.00275,6874
0.00279167,6944
0.00283333,6935
0.002875,6834
0.00291667,6665
0.00295833,6417
0.003,6060
0.00304167,5580
0.00308333,4968
0.003125,4240
0.00316667,3429
0.00320833,2540
0.00325,1574
0.00329167,549
0.00333333,-545
0.003375,-1729
0.00341667,-3009
0.00345833,-4403
0.0035,-5924
0.00354167,-7568
0.00358333,-8201
0.003625,-8201
0.00366667,-8201
0.00370833,-8201
0.00375,-8201
0.00379167,-8201
0.00383333,-8201
0.003875,-8201
0.00391667,-8201
0.00395833,-8201
0.004,-8201
0.00404167,-8201
0.00408333,-8201
0.004125,-8201
0.00416667,-8201
0.00420833,-8201
0.00425,-8201
0.00429167,-8201
0.00433333,-8201
0.004375,-8201
0.00441667,-8201
0.00445833,-8201
0.0045,-8201
0.00454167,-8201
0.00458333,-8135
0.004625,-7825
0.00466667,-7506
0.00470833,-7204
0.00475,-6911
0.00479167,-6634
0.00483333,-6366
0.004875,-6111
0.00491667,-5829
0.00495833,-4766
0.005,-3415
0.00504167,-2182
0.00508333,-1086
0.005125,-115
0.00516667,740
0.00520833,1492
0.00525,2148
0.00529167,2720
0.00533333,3214
0.005375,3639
0.00541667,4098
0.00545833,5372
0.0055,6723
0.00554167,7917
0.00558333,8182
0.005625,8182
0.00566667,8182
0.00570833,8182
0.00575,8182
0.00579167,8182
0.00583333,8182
0.005875,8182
0.00591667,8182
0.00595833,8182
0.006,8182
0.00604167,7787
0.00608333,6605
0.006125,5337
0.00616667,4003
0.00620833,2646
0.00625,1302
0.00629167,10
0.00633333,-1173
0.006375,-2186
0.00641667,-2983
0.00645833,-3478
0.0065,-3447
0.00654167,-2918
0.00658333,-2299
0.006625,-1727
