с,code
0,39
4.16667E-05,41
8.33333E-05,40
0.000125,38
0.000166667,36
0.000208333,32
0.00025,30
0.000291667,27
0.000333333,19
0.000375,17
0.000416667,11
0.000458333,5
0.0005,-2
0.000541667,-4
0.000583333,-11
0.000625,-17
0.000666667,-17
0.000708333,-21
0.00075,-23
0.000791667,-30
0.000833333,-30
0.000875,-29
0.000916667,-28
0.000958333,-30
0.001,-31
0.00104167,-29
0.00108333,-28
0.001125,-25
0.00116667,-24
0.00120833,-24
0.00125,-20
0.00129167,-18
0.00133333,-16
0.001375,-12
0.00141667,-12
0.00145833,-9
0.0015,-9
0.00154167,-7
0.00158333,0
0.001625,1
0.00166667,3
0.00170833,6
0.00175,9
0.00179167,9
0.00183333,9
0.001875,14
0.00191667,17
0.00195833,17
0.002,20
0.00204167,23
0.00208333,24
0.002125,25
0.00216667,26
0.00220833,28
0.00225,28
0.00229167,29
0.00233333,29
0.002375,26
0.00241667,24
0.00245833,22
0.0025,19
0.00254167,16
0.00258333,12
0.002625,7
0.00266667,2
0.00270833,-3
0.00275,-8
0.00279167,-11
0.00283333,-16
0.002875,-21
0.00291667,-24
0.00295833,-27
0.003,-30
0.00304167,-30
0.00308333,-29
0.003125,-27
0.00316667,-24
0.00320833,-24
0.00325,-22
0.00329167,-18
0.00333333,-14
0.003375,-10
0.00341667,-9
0.00345833,-4
0.0035,-1
0.00354167,3
0.00358333,4
0.003625,9
0.00366667,9
0.00370833,11
0.00375,10
0.00379167,12
0.00383333,12
0.003875,10
0.00391667,12
0.00395833,13
0.004,13
0.00404167,13
0.00408333,14
0.004125,14
0.00416667,11
0.00420833,11
0.00425,10
0.00429167,10
0.00433333,7
0.004375,6
0.00441667,5
0.00445833,4
0.0045,1
0.00454167,0
0.00458333,4
0.004625,2
0.00466667,0
0.00470833,2
0.00475,2
0.00479167,1
0.00483333,2
0.004875,3
0.00491667,2
0.00495833,0
0.005,0
0.00504167,2
0.00508333,1
0.005125,-1
0.00516667,1
0.00520833,-1
0.00525,-1
0.00529167,0
0.00533333,1
0.005375,-1
0.00541667,-2
0.00545833,-3
0.0055,-2
0.00554167,0
0.00558333,2
0.005625,1
0.00566667,1
0.00570833,1
0.00575,1
0.00579167,3
0.00583333,2
0.005875,4
0.00591667,4
0.00595833,5
0.006,5
0.00604167,4
0.00608333,3
0.006125,5
0.00616667,6
0.00620833,4
0.00625,4
0.00629167,3
0.00633333,3
0.006375,4
0.00641667,4
0.00645833,3
0.0065,4
0.00654167,2
0.00658333,0
0.006625,-1
0.00666667,-2
0.00670833,-3
0.00675,-2
0.00679167,-6
0.00683333,-8
0.006875,-7
0.00691667,-5
0.00695833,-5
0.007,-7
0.00704167,-8
0.00708333,-7
0.007125,-7
0.00716667,-6
0.00720833,-5
0.00725,-4
0.00729167,-2
0.00733333,-1
0.007375,1
0.00741667,2
0.00745833,5
0.0075,7
0.00754167,7
0.00758333,9
0.007625,8
0.00766667,9
0.00770833,10
0.00775,10
0.00779167,11
0.00783333,9
0.007875,9
0.00791667,9
0.00795833,6
0.008,3
0.00804167,5
0.00808333,3
0.008125,1
0.00816667,-1
0.00820833,-1
0.00825,-3
0.00829167,-7
0.00833333,-7
0.008375,-9
0.00841667,-10
0.00845833,-10
0.0085,-12
0.00854167,-12
0.00858333,-12
0.008625,-13
0.00866667,-12
0.00870833,-11
0.00875,-9
0.00879167,-8
0.00883333,-9
0.008875,-6
0.00891667,-1
0.00895833,-1
0.009,1
0.00904167,4
0.00908333,5
0.009125,4
0.00916667,8
0.00920833,9
0.00925,8
0.00929167,7
0.00933333,10
0.009375,8
0.00941667,8
0.00945833,8
0.0095,10
0.00954167,11
0.00958333,8
0.009625,7
0.00966667,9
0.00970833,7
0.00975,6
0.00979167,8
0.00983333,10
0.009875,10
0.00991667,7
0.00995833,6
0.01,3
0.0100417,2
0.0100833,3
0.010125,2
0.0101667,-2
0.0102083,-4
0.01025,-5
0.0102917,-7
0.0103333,-7
0.010375,-8
0.0104167,-6
0.0104583,-5
0.0105,-5
0.0105417,-5
0.0105833,-5
0.010625,-5
0.0106667,-4
0.0107083,-3
0.01075,-2
0.0107917,-1
0.0108333,1
0.010875,2
0.0109167,4
0.0109583,3
0.011,2
0.0110417,7
0.0110833,7
0.011125,7
0.0111667,9
0.0112083,6
0.01125,7
0.0112917,4
0.0113333,3
0.011375,5
0.0114167,5
0.0114583,5
0.0115,4
0.0115417,3
0.0115833,4
0.011625,3
0.0116667,1
0.0117083,4
0.01175,3
0.0117917,4
0.0118333,4
0.011875,2
0.0119167,3
0.0119583,2
0.012,4
0.0120417,6
0.0120833,6
0.012125,5
0.0121667,7
0.0122083,9
0.01225,9
0.0122917,7
0.0123333,8
0.012375,6
0.0124167,6
0.0124583,4
0.0125,5
0.0125417,4
0.0125833,1
0.012625,0
0.0126667,-5
0.0127083,-3
0.01275,-2
0.0127917,-2
0.0128333,-4
0.012875,-2
0.0129167,-1
0.0129583,0
0.013,0
0.0130417,-1
0.0130833,3
0.013125,5
0.0131667,5
0.0132083,6
0.01325,6
0.0132917,8
0.0133333,6
0.013375,7
0.0134167,7
0.0134583,8
0.0135,5
0.0135417,6
0.0135833,3
0.013625,2
0.0136667,3
0.0137083,2
0.01375,-1
0.0137917,-2
0.0138333,-4
0.013875,-6
0.0139167,-4
0.0139583,-5
0.014,-5
0.0140417,-3
0.0140833,-4
0.014125,-5
0.0141667,-4
0.0142083,-3
0.01425,-2
0.0142917,-1
0.0143333,-2
0.014375,-2
0.0144167,2
0.0144583,0
0.0145,2
0.0145417,2
0.0145833,2
0.014625,3
0.0146667,3
0.0147083,2
0.01475,2
0.0147917,0
0.0148333,1
0.014875,1
0.0149167,0
0.0149583,-3
0.015,-4
0.0150417,-4
0.0150833,-7
0.015125,-7
0.0151667,-9
0.0152083,-12
0.01525,-11
0.0152917,-11
0.0153333,-10
0.015375,-8
0.0154167,-8
0.0154583,-6
0.0155,-7
0.0155417,-6
0.0155833,-5
0.015625,-3
0.0156667,-4
0.0157083,-2
0.01575,-3
0.0157917,0
0.0158333,1
0.015875,0
0.0159167,3
0.0159583,-1
0.016,-2
0.0160417,0
0.0160833,-1
0.016125,1
0.0161667,-1
0.0162083,0
0.01625,0
0.0162917,-1
0.0163333,1
0.016375,-1
0.0164167,-3
0.0164583,-1
0.0165,-1
0.0165417,0
0.0165833,1
0.016625,2
0.0166667,1
0.0167083,-2
0.01675,-1
0.0167917,-1
0.0168333,-1
0.016875,1
0.0169167,-1
0.0169583,-1
0.017,2
0.0170417,-1
0.0170833,-1
0.017125,0
0.0171667,-1
0.0172083,-1
0.01725,1
0.0172917,0
0.0173333,-2
0.017375,-2
0.0174167,-1
0.0174583,-4
0.0175,-4
0.0175417,-3
0.0175833,-4
