с,code
0,42
4.16667E-05,49
8.33333E-05,49
0.000125,44
0.000166667,39
0.000208333,38
0.00025,37
0.000291667,32
0.000333333,27
0.000375,22
0.000416667,15
0.000458333,12
0.0005,4
0.000541667,-2
0.000583333,-12
0.000625,-20
0.000666667,-21
0.000708333,-27
0.00075,-35
0.000791667,-36
0.000833333,-37
0.000875,-36
0.000916667,-36
0.000958333,-38
0.001,-38
0.00104167,-38
0.00108333,-38
0.001125,-40
0.00116667,-38
0.00120833,-36
0.00125,-35
0.00129167,-34
0.00133333,-35
0.001375,-31
0.00141667,-27
0.00145833,-25
0.0015,-23
0.00154167,-27
0.00158333,-26
0.001625,-20
0.00166667,-18
0.00170833,-16
0.00175,-14
0.00179167,-4
0.00183333,4
0.001875,11
0.00191667,10
0.00195833,16
0.002,24
0.00204167,28
0.00208333,32
0.002125,39
0.00216667,44
0.00220833,43
0.00225,45
0.00229167,48
0.00233333,53
0.002375,53
0.00241667,48
0.00245833,46
0.0025,44
0.00254167,35
0.00258333,29
0.002625,27
0.00266667,18
0.00270833,8
0.00275,5
0.00279167,9
0.00283333,4
0.002875,-8
0.00291667,-7
0.00295833,5
0.003,-1
0.00304167,-21
0.00308333,-23
0.003125,-12
0.00316667,-20
0.00320833,-42
0.00325,-26
0.00329167,30
0.00333333,59
0.003375,44
0.00341667,22
0.00345833,26
0.0035,41
0.00354167,58
0.00358333,82
0.003625,102
0.00366667,117
0.00370833,144
0.00375,191
0.00379167,208
0.00383333,163
0.003875,93
0.00391667,65
0.00395833,111
0.004,203
0.00404167,303
0.00408333,375
0.004125,419
0.00416667,448
0.00420833,474
0.00425,483
0.00429167,475
0.00433333,475
0.004375,497
0.00441667,562
0.00445833,709
0.0045,908
0.00454167,1058
0.00458333,1144
0.004625,1281
0.00466667,1493
0.00470833,1680
0.00475,1805
0.00479167,1940
0.00483333,2149
0.004875,2398
0.00491667,2664
0.00495833,2959
0.005,3259
0.00504167,3520
0.00508333,3733
0.005125,3937
0.00516667,4155
0.00520833,4357
0.00525,4545
0.00529167,4764
0.00533333,5042
0.005375,5338
0.00541667,5661
0.00545833,5986
0.0055,6237
0.00554167,6389
0.00558333,6541
0.005625,6748
0.00566667,6907
0.00570833,6952
0.00575,6992
0.00579167,7101
0.00583333,7213
0.005875,7270
0.00591667,7272
0.00595833,7186
0.006,6922
0.00604167,6483
0.00608333,5940
0.006125,5335
0.00616667,4654
0.00620833,3587
0.00625,2804
0.00629167,1998
0.00633333,1136
0.006375,185
0.00641667,-888
0.00645833,-2085
0.0065,-3401
0.00654167,-4835
0.00658333,-6386
0.006625,-8086
0.00666667,-8527
0.00670833,-8527
