с,code
0,38
4.16667E-05,44
8.33333E-05,48
0.000125,45
0.000166667,47
0.000208333,46
0.00025,35
0.000291667,28
0.000333333,28
0.000375,21
0.000416667,7
0.000458333,-2
0.0005,-2
0.000541667,-15
0.000583333,-27
0.000625,-29
0.000666667,-25
0.000708333,-42
0.00075,-51
0.000791667,-52
0.000833333,-45
0.000875,-49
0.000916667,-56
0.000958333,-49
0.001,-39
0.00104167,-40
0.00108333,-36
0.001125,-23
0.00116667,-14
0.00120833,-16
0.00125,-14
0.00129167,-1
0.00133333,6
0.001375,5
0.00141667,7
0.00145833,22
0.0015,24
0.00154167,14
0.00158333,16
0.001625,23
0.00166667,20
0.00170833,12
0.00175,8
0.00179167,12
0.00183333,11
0.001875,8
0.00191667,8
0.00195833,15
0.002,17
0.00204167,12
0.00208333,12
0.002125,19
0.00216667,24
0.00220833,23
0.00225,29
0.00229167,32
0.00233333,32
0.002375,31
0.00241667,40
0.00245833,45
0.0025,46
0.00254167,41
0.00258333,40
0.002625,43
0.00266667,32
0.00270833,20
0.00275,18
0.00279167,16
0.00283333,4
0.002875,-10
0.00291667,-12
0.00295833,-17
0.003,-34
0.00304167,-39
0.00308333,-34
0.003125,-41
0.00316667,-58
0.00320833,-58
0.00325,-51
0.00329167,-51
0.00333333,-54
0.003375,-48
0.00341667,-39
0.00345833,-36
0.0035,-35
0.00354167,-26
0.00358333,-11
0.003625,-5
0.00366667,-4
0.00370833,3
0.00375,18
0.00379167,24
0.00383333,13
0.003875,15
0.00391667,25
0.00395833,24
0.004,12
0.00404167,7
0.00408333,10
0.004125,4
0.00416667,-10
0.00420833,-12
0.00425,-11
0.00429167,-19
0.00433333,-27
0.004375,-26
0.00441667,-20
0.00445833,-27
0.0045,-33
0.00454167,-25
0.00458333,-19
0.004625,-21
0.00466667,-25
0.00470833,-21
0.00475,-13
0.00479167,-9
0.00483333,-6
0.004875,-1
0.00491667,-1
0.00495833,0
0.005,-2
0.00504167,2
0.00508333,2
0.005125,-5
0.00516667,-5
0.00520833,-1
0.00525,1
0.00529167,-7
0.00533333,-19
0.005375,-20
0.00541667,-20
0.00545833,-24
0.0055,-29
0.00554167,-24
0.00558333,-18
0.005625,-22
0.00566667,-19
0.00570833,2
0.00575,19
0.00579167,21
0.00583333,28
0.005875,49
0.00591667,63
0.00595833,77
0.006,95
0.00604167,112
0.00608333,125
0.006125,128
0.00616667,135
0.00620833,142
0.00625,142
0.00629167,136
0.00633333,128
0.006375,119
0.00641667,99
0.00645833,77
0.0065,64
0.00654167,48
0.00658333,23
0.006625,-2
0.00666667,-21
0.00670833,-42
0.00675,-67
0.00679167,-89
0.00683333,-103
0.006875,-115
0.00691667,-127
0.00695833,-136
0.007,-136
0.00704167,-133
0.00708333,-134
0.007125,-134
0.00716667,-123
0.00720833,-114
0.00725,-105
0.00729167,-96
0.00733333,-79
0.007375,-63
0.00741667,-53
0.00745833,-42
0.0075,-25
0.00754167,-10
0.00758333,1
0.007625,9
0.00766667,19
0.00770833,19
0.00775,19
0.00779167,26
0.00783333,33
0.007875,34
0.00791667,39
0.00795833,44
0.008,46
0.00804167,47
0.00808333,52
0.008125,60
0.00816667,64
0.00820833,66
0.00825,64
0.00829167,69
0.00833333,69
0.008375,76
0.00841667,78
0.00845833,81
0.0085,79
0.00854167,73
0.00858333,65
0.008625,65
0.00866667,59
0.00870833,46
0.00875,30
0.00879167,16
0.00883333,3
0.008875,-18
0.00891667,-35
0.00895833,-51
0.009,-62
0.00904167,-79
0.00908333,-92
0.009125,-97
0.00916667,-107
0.00920833,-119
0.00925,-117
0.00929167,-108
0.00933333,-105
0.009375,-105
0.00941667,-94
0.00945833,-72
0.0095,-56
0.00954167,-50
0.00958333,-37
0.009625,-17
0.00966667,-2
0.00970833,11
0.00975,26
0.00979167,41
0.00983333,46
0.009875,48
0.00991667,54
0.00995833,61
0.01,57
0.0100417,48
0.0100833,46
0.010125,44
0.0101667,36
0.0102083,21
0.01025,17
0.0102917,11
0.0103333,2
0.010375,-11
0.0104167,-17
0.0104583,-19
0.0105,-28
0.0105417,-33
0.0105833,-28
0.010625,-20
0.0106667,-19
0.0107083,-20
0.01075,-10
0.0107917,3
0.0108333,10
0.010875,12
0.0109167,20
0.0109583,34
0.011,38
0.0110417,43
0.0110833,45
0.011125,47
0.0111667,49
0.0112083,44
0.01125,43
0.0112917,43
0.0113333,36
0.011375,31
0.0114167,26
0.0114583,26
0.0115,18
0.0115417,9
0.0115833,6
0.011625,7
0.0116667,6
0.0117083,12
0.01175,19
0.0117917,21
0.0118333,26
0.011875,35
0.0119167,39
0.0119583,40
0.012,45
0.0120417,53
0.0120833,60
0.012125,63
0.0121667,60
0.0122083,56
0.01225,55
0.0122917,45
0.0123333,34
0.012375,21
0.0124167,9
0.0124583,-4
0.0125,-18
0.0125417,-33
0.0125833,-48
0.012625,-64
0.0126667,-74
0.0127083,-85
0.01275,-96
0.0127917,-103
0.0128333,-109
0.012875,-114
0.0129167,-116
0.0129583,-110
0.013,-105
0.0130417,-98
0.0130833,-90
0.013125,-76
0.0131667,-64
0.0132083,-49
0.01325,-35
0.0132917,-19
0.0133333,-6
0.013375,2
0.0134167,14
0.0134583,27
0.0135,34
0.0135417,42
0.0135833,49
0.013625,57
0.0136667,59
0.0137083,57
0.01375,53
0.0137917,47
0.0138333,42
0.013875,36
0.0139167,32
0.0139583,25
0.014,21
0.0140417,17
0.0140833,14
0.014125,10
0.0141667,9
0.0142083,12
0.01425,11
0.0142917,9
0.0143333,9
0.014375,12
0.0144167,18
0.0144583,20
0.0145,22
0.0145417,24
0.0145833,24
0.014625,22
0.0146667,18
0.0147083,12
0.01475,12
0.0147917,9
0.0148333,5
0.014875,-7
0.0149167,-18
0.0149583,-24
0.015,-28
0.0150417,-34
0.0150833,-42
0.015125,-44
0.0151667,-45
0.0152083,-47
0.01525,-48
0.0152917,-45
0.0153333,-36
0.015375,-29
0.0154167,-25
0.0154583,-18
0.0155,-9
0.0155417,-2
0.0155833,3
0.015625,8
0.0156667,16
0.0157083,21
0.01575,24
0.0157917,24
0.0158333,26
0.015875,28
0.0159167,23
0.0159583,16
0.016,13
0.0160417,8
0.0160833,4
0.016125,-2
0.0161667,-7
0.0162083,-12
0.01625,-16
0.0162917,-18
0.0163333,-18
0.016375,-17
0.0164167,-21
0.0164583,-21
0.0165,-15
0.0165417,-10
0.0165833,-1
0.016625,10
0.0166667,20
0.0167083,28
0.01675,41
0.0167917,49
0.0168333,54
0.016875,66
0.0169167,74
0.0169583,81
0.017,82
0.0170417,83
0.0170833,84
0.017125,81
0.0171667,76
0.0172083,73
0.01725,63
0.0172917,54
0.0173333,41
0.017375,34
0.0174167,27
0.0174583,17
0.0175,7
0.0175417,-2
0.0175833,-11
0.017625,-21
0.0176667,-26
0.0177083,-32
0.01775,-35
0.0177917,-41
0.0178333,-43
0.017875,-46
0.0179167,-49
0.0179583,-47
0.018,-44
0.0180417,-45
0.0180833,-41
0.018125,-40
0.0181667,-42
0.0182083,-36
0.01825,-38
0.0182917,-30
0.0183333,-25
0.018375,-22
0.0184167,-20
0.0184583,-24
0.0185,-20
0.0185417,-19
0.0185833,-25
0.018625,-32
0.0186667,-30
0.0187083,-23
0.01875,-25
0.0187917,-26
0.0188333,-23
0.018875,-16
0.0189167,-11
0.0189583,-11
0.019,-3
0.0190417,1
0.0190833,3
0.019125,10
0.0191667,21
0.0192083,33
0.01925,41
0.0192917,45
0.0193333,52
0.019375,58
0.0194167,59
0.0194583,58
0.0195,56
0.0195417,55
0.0195833,50
0.019625,44
0.0196667,41
0.0197083,36
0.01975,22
0.0197917,14
0.0198333,10
0.019875,2
0.0199167,-6
0.0199583,-17
0.02,-23
0.0200417,-30
0.0200833,-41
0.020125,-43
0.0201667,-40
0.0202083,-41
0.02025,-43
0.0202917,-43
0.0203333,-36
0.020375,-33
0.0204167,-32
0.0204583,-26
0.0205,-18
0.0205417,-15
0.0205833,-12
0.020625,-6
0.0206667,-2
0.0207083,-3
0.02075,-4
0.0207917,5
0.0208333,10
0.020875,8
0.0209167,2
0.0209583,4
0.021,5
0.0210417,-1
0.0210833,-4
0.021125,0
0.0211667,3
0.0212083,3
0.02125,5
0.0212917,10
0.0213333,13
0.021375,15
0.0214167,18
0.0214583,25
0.0215,31
0.0215417,33
0.0215833,36
0.021625,46
0.0216667,51
0.0217083,53
0.02175,53
0.0217917,56
0.0218333,56
0.021875,54
0.0219167,48
0.0219583,44
0.022,42
0.0220417,32
0.0220833,25
0.022125,18
0.0221667,6
0.0222083,-6
0.02225,-12
0.0222917,-17
0.0223333,-26
0.022375,-36
0.0224167,-42
0.0224583,-47
0.0225,-54
0.0225417,-53
0.0225833,-50
0.022625,-48
0.0226667,-45
0.0227083,-39
0.02275,-34
0.0227917,-28
0.0228333,-21
0.022875,-15
0.0229167,-11
0.0229583,-4
0.023,4
0.0230417,8
0.0230833,15
0.023125,16
0.0231667,19
0.0232083,22
0.02325,24
0.0232917,24
0.0233333,26
0.023375,24
0.0234167,21
0.0234583,19
0.0235,20
0.0235417,17
0.0235833,13
0.023625,12
0.0236667,11
0.0237083,12
0.02375,10
0.0237917,16
0.0238333,23
0.023875,23
0.0239167,22
0.0239583,25
0.024,28
0.0240417,30
0.0240833,33
0.024125,36
0.0241667,36
0.0242083,33
0.02425,25
0.0242917,19
0.0243333,16
0.024375,8
0.0244167,-1
0.0244583,-11
0.0245,-20
0.0245417,-27
0.0245833,-36
0.024625,-45
0.0246667,-49
0.0247083,-53
0.02475,-55
0.0247917,-59
0.0248333,-57
0.024875,-52
0.0249167,-45
0.0249583,-40
0.025,-34
0.0250417,-27
0.0250833,-17
0.025125,-7
0.0251667,4
0.0252083,14
0.02525,24
0.0252917,30
0.0253333,38
0.025375,44
0.0254167,49
0.0254583,47
0.0255,48
0.0255417,49
0.0255833,50
0.025625,45
0.0256667,39
0.0257083,35
0.02575,29
0.0257917,18
0.0258333,13
0.025875,10
0.0259167,5
0.0259583,-6
0.026,-9
0.0260417,-12
0.0260833,-17
0.026125,-17
0.0261667,-13
0.0262083,-11
0.02625,-10
0.0262917,-7
0.0263333,-5
0.026375,0
0.0264167,3
0.0264583,6
0.0265,10
0.0265417,10
0.0265833,9
0.026625,5
0.0266667,5
0.0267083,7
0.02675,3
0.0267917,-5
0.0268333,-7
0.026875,-11
0.0269167,-17
0.0269583,-25
0.027,-31
0.0270417,-36
0.0270833,-45
0.027125,-49
0.0271667,-50
0.0272083,-48
0.02725,-45
0.0272917,-43
0.0273333,-38
0.027375,-26
0.0274167,-21
0.0274583,-15
0.0275,-8
0.0275417,-1
0.0275833,11
0.027625,20
0.0276667,28
0.0277083,35
0.02775,41
0.0277917,42
0.0278333,42
0.027875,44
0.0279167,47
0.0279583,46
0.028,41
0.0280417,37
0.0280833,34
0.028125,27
0.0281667,23
0.0282083,18
0.02825,18
0.0282917,16
0.0283333,12
0.028375,9
0.0284167,7
0.0284583,4
0.0285,6
0.0285417,11
0.0285833,10
0.028625,10
0.0286667,10
0.0287083,21
0.02875,25
0.0287917,28
0.0288333,30
0.028875,35
0.0289167,37
0.0289583,39
0.029,41
0.0290417,40
0.0290833,37
0.029125,32
0.0291667,26
0.0292083,19
0.02925,11
0.0292917,0
0.0293333,-8
0.029375,-18
0.0294167,-27
0.0294583,-35
0.0295,-45
0.0295417,-55
0.0295833,-62
0.029625,-64
0.0296667,-66
0.0297083,-66
0.02975,-67
0.0297917,-65
0.0298333,-61
0.029875,-57
0.0299167,-52
0.0299583,-47
0.03,-37
0.0300417,-27
0.0300833,-20
0.030125,-16
0.0301667,-9
0.0302083,-5
0.03025,-2
0.0302917,3
0.0303333,6
0.030375,7
0.0304167,2
0.0304583,2
0.0305,5
0.0305417,3
0.0305833,2
0.030625,3
0.0306667,5
0.0307083,4
0.03075,6
0.0307917,7
0.0308333,12
0.030875,18
0.0309167,25
0.0309583,30
0.031,37
0.0310417,46
0.0310833,48
0.031125,53
0.0311667,59
0.0312083,64
0.03125,66
0.0312917,66
0.0313333,67
0.031375,66
0.0314167,65
0.0314583,63
0.0315,59
0.0315417,52
0.0315833,43
0.031625,34
0.0316667,25
0.0317083,13
0.03175,4
0.0317917,-1
0.0318333,-7
0.031875,-14
0.0319167,-19
0.0319583,-21
0.032,-22
0.0320417,-23
0.0320833,-24
0.032125,-22
0.0321667,-22
0.0322083,-19
0.03225,-13
0.0322917,-6
0.0323333,-4
0.032375,-3
0.0324167,4
0.0324583,8
0.0325,7
0.0325417,4
0.0325833,4
0.032625,2
0.0326667,-3
0.0327083,-6
0.03275,-10
0.0327917,-16
0.0328333,-20
0.032875,-20
0.0329167,-21
0.0329583,-28
0.033,-34
0.0330417,-37
0.0330833,-41
0.033125,-48
0.0331667,-53
0.0332083,-46
0.03325,-43
0.0332917,-43
0.0333333,-40
0.033375,-34
0.0334167,-26
0.0334583,-20
0.0335,-11
0.0335417,-4
0.0335833,7
0.033625,16
0.0336667,21
0.0337083,29
0.03375,37
0.0337917,46
0.0338333,51
0.033875,55
0.0339167,54
0.0339583,59
0.034,57
0.0340417,56
0.0340833,55
0.034125,49
0.0341667,44
0.0342083,43
0.03425,37
0.0342917,33
0.0343333,33
0.034375,33
0.0344167,33
0.0344583,32
0.0345,32
0.0345417,25
0.0345833,22
0.034625,28
0.0346667,34
0.0347083,33
0.03475,33
0.0347917,37
0.0348333,33
0.034875,28
0.0349167,29
0.0349583,28
0.035,23
0.0350417,12
0.0350833,7
0.035125,1
0.0351667,-8
0.0352083,-20
0.03525,-30
0.0352917,-35
0.0353333,-40
0.035375,-45
0.0354167,-53
0.0354583,-57
0.0355,-64
0.0355417,-73
0.0355833,-74
0.035625,-79
0.0356667,-82
0.0357083,-84
0.03575,-76
0.0357917,-72
0.0358333,-71
0.035875,-63
0.0359167,-57
0.0359583,-57
0.036,-59
0.0360417,-47
0.0360833,-42
0.036125,-42
0.0361667,-45
0.0362083,-42
0.03625,-39
0.0362917,-41
0.0363333,-41
0.036375,-38
0.0364167,-39
0.0364583,-44
0.0365,-49
0.0365417,-45
0.0365833,-41
0.036625,-42
0.0366667,-45
0.0367083,-43
0.03675,-40
0.0367917,-36
0.0368333,-30
0.036875,-21
0.0369167,-16
0.0369583,-9
0.037,10
0.0370417,28
0.0370833,37
0.037125,50
0.0371667,62
0.0372083,65
0.03725,67
0.0372917,69
0.0373333,71
0.037375,73
0.0374167,68
0.0374583,61
0.0375,50
0.0375417,41
0.0375833,31
0.037625,17
0.0376667,-3
0.0377083,-27
0.03775,-48
0.0377917,-69
0.0378333,-79
0.037875,-87
0.0379167,-95
0.0379583,-118
0.038,-146
0.0380417,-170
0.0380833,-189
0.038125,-209
0.0381667,-231
0.0382083,-246
0.03825,-252
0.0382917,-262
0.0383333,-270
0.038375,-270
0.0384167,-266
0.0384583,-273
0.0385,-289
0.0385417,-297
0.0385833,-313
0.038625,-333
0.0386667,-343
0.0387083,-329
0.03875,-319
0.0387917,-322
0.0388333,-325
0.038875,-321
0.0389167,-321
0.0389583,-333
0.039,-346
0.0390417,-347
0.0390833,-360
0.039125,-380
0.0391667,-386
0.0392083,-387
0.03925,-398
0.0392917,-426
0.0393333,-448
0.039375,-467
0.0394167,-502
0.0394583,-536
0.0395,-560
0.0395417,-579
0.0395833,-599
0.039625,-609
0.0396667,-597
0.0397083,-576
0.03975,-556
0.0397917,-529
0.0398333,-491
0.039875,-452
0.0399167,-409
0.0399583,-347
0.04,0
