с,code
0,61
4.16667E-05,71
8.33333E-05,49
0.000125,55
0.000166667,71
0.000208333,70
0.00025,94
0.000291667,150
0.000333333,157
0.000375,116
0.000416667,120
0.000458333,182
0.0005,210
0.000541667,178
0.000583333,151
0.000625,153
0.000666667,185
0.000708333,278
0.00075,416
0.000791667,504
0.000833333,499
0.000875,476
0.000916667,481
0.000958333,475
0.001,460
0.00104167,460
0.00108333,459
0.001125,479
0.00116667,588
0.00120833,775
0.00125,936
0.00129167,1037
0.00133333,1142
0.001375,1249
0.00141667,1297
0.00145833,1341
0.0015,1466
0.00154167,1659
0.00158333,1842
0.001625,2061
0.00166667,2342
0.00170833,2625
0.00175,2866
0.00179167,3071
0.00183333,3256
0.001875,3432
0.00191667,3608
0.00195833,3821
0.002,4082
0.00204167,4354
0.00208333,4651
0.002125,4994
0.00216667,5370
0.00220833,5680
0.00225,5897
0.00229167,6077
0.00233333,6248
0.002375,6389
0.00241667,6488
0.00245833,6549
0.0025,6571
0.00254167,6583
0.00258333,6643
0.002625,6716
0.00266667,6698
0.00270833,6499
0.00275,6162
0.00279167,5724
0.00283333,5159
0.002875,4477
0.00291667,3715
0.00295833,2892
0.003,1996
0.00304167,1036
0.00308333,68
0.003125,-935
0.00316667,-2065
0.00320833,-3339
0.00325,-4713
0.00329167,-6189
0.00333333,-7805
0.003375,-8203
0.00341667,-8203
0.00345833,-8203
0.0035,-8203
0.00354167,-8203
0.00358333,-8203
0.003625,-8203
0.00366667,-8203
0.00370833,-8203
0.00375,-8203
0.00379167,-8203
0.00383333,-8203
0.003875,-8203
0.00391667,-8203
0.00395833,-8203
0.004,-8203
0.00404167,-8203
0.00408333,-8203
0.004125,-8203
0.00416667,-8203
0.00420833,-8203
0.00425,-8203
0.00429167,-8203
0.00433333,-8203
0.004375,-8078
0.00441667,-7750
0.00445833,-7436
0.0045,-7135
0.00454167,-6848
0.00458333,-6571
0.004625,-6307
0.00466667,-6053
0.00470833,-5811
