с,code
0,44
4.16667E-05,55
8.33333E-05,45
0.000125,37
0.000166667,49
0.000208333,53
0.00025,34
0.000291667,16
0.000333333,23
0.000375,34
0.000416667,28
0.000458333,12
0.0005,2
0.000541667,-3
0.000583333,-13
0.000625,-20
0.000666667,-19
0.000708333,-18
0.00075,-27
0.000791667,-42
0.000833333,-46
0.000875,-44
0.000916667,-51
0.000958333,-47
0.001,-31
0.00104167,-26
0.00108333,-31
0.001125,-28
0.00116667,-24
0.00120833,-26
0.00125,-25
0.00129167,-14
0.00133333,-10
0.001375,-14
0.00141667,-16
0.00145833,-5
0.0015,0
0.00154167,-19
0.00158333,-36
0.001625,-34
0.00166667,-21
0.00170833,-21
0.00175,-29
0.00179167,-24
0.00183333,-15
0.001875,-13
0.00191667,-16
0.00195833,-7
0.002,3
0.00204167,2
0.00208333,-2
0.002125,9
0.00216667,25
0.00220833,32
0.00225,37
0.00229167,50
0.00233333,54
0.002375,39
0.00241667,35
0.00245833,52
0.0025,59
0.00254167,48
0.00258333,44
0.002625,49
0.00266667,47
0.00270833,29
0.00275,29
0.00279167,41
0.00283333,36
0.002875,14
0.00291667,5
0.00295833,12
0.003,5
0.00304167,-13
0.00308333,-12
0.003125,-11
0.00316667,-25
0.00320833,-32
0.00325,-18
0.00329167,-7
0.00333333,-26
0.003375,-41
0.00341667,-28
0.00345833,-20
0.0035,-42
0.00354167,-51
0.00358333,-27
0.003625,-10
0.00366667,-24
0.00370833,-33
0.00375,-9
0.00379167,11
0.00383333,-2
0.003875,-12
0.00391667,1
0.00395833,11
0.004,-2
0.00404167,-11
0.00408333,1
0.004125,13
0.00416667,2
0.00420833,-4
0.00425,4
0.00429167,5
0.00433333,0
0.004375,-2
0.00441667,1
0.00445833,-3
0.0045,-17
0.00454167,-18
0.00458333,-9
0.004625,-10
0.00466667,-12
0.00470833,-10
0.00475,-8
0.00479167,-9
0.00483333,-7
0.004875,1
0.00491667,7
0.00495833,1
0.005,-3
0.00504167,1
0.00508333,3
0.005125,3
0.00516667,-2
0.00520833,-2
0.00525,1
0.00529167,-6
0.00533333,-20
0.005375,-30
0.00541667,-30
0.00545833,-30
0.0055,-39
0.00554167,-40
0.00558333,-35
0.005625,-36
0.00566667,-43
0.00570833,-38
0.00575,-20
0.00579167,-12
0.00583333,-21
0.005875,-17
0.00591667,-1
0.00595833,7
0.006,2
0.00604167,8
0.00608333,20
0.006125,22
0.00616667,20
0.00620833,25
0.00625,36
0.00629167,38
0.00633333,31
0.006375,29
0.00641667,26
0.00645833,20
0.0065,16
0.00654167,24
0.00658333,24
0.006625,17
0.00666667,16
0.00670833,25
0.00675,24
0.00679167,10
0.00683333,3
0.006875,14
0.00691667,16
0.00695833,1
0.007,-4
0.00704167,4
0.00708333,4
0.007125,-3
0.00716667,-5
0.00720833,-4
0.00725,-6
0.00729167,-9
0.00733333,-6
0.007375,0
0.00741667,2
0.00745833,1
0.0075,2
