с,code
0,25
4.16667E-05,46
8.33333E-05,61
0.000125,78
0.000166667,90
0.000208333,103
0.00025,125
0.000291667,156
0.000333333,175
0.000375,188
0.000416667,212
0.000458333,247
0.0005,267
0.000541667,272
0.000583333,277
0.000625,296
0.000666667,316
0.000708333,325
0.00075,340
0.000791667,361
0.000833333,370
0.000875,375
0.000916667,388
0.000958333,401
0.001,405
0.00104167,402
0.00108333,399
0.001125,395
0.00116667,374
0.00120833,350
0.00125,339
0.00129167,327
0.00133333,301
0.001375,257
0.00141667,215
0.00145833,194
0.0015,166
0.00154167,114
0.00158333,56
0.001625,10
0.00166667,-20
0.00170833,-52
0.00175,-95
0.00179167,-121
0.00183333,-133
0.001875,-170
0.00191667,-200
0.00195833,-187
0.002,-185
0.00204167,-235
0.00208333,-260
0.002125,-205
0.00216667,-156
0.00220833,-173
0.00225,-201
0.00229167,-189
0.00233333,-163
0.002375,-124
0.00241667,-66
0.00245833,-23
0.0025,-44
0.00254167,-100
0.00258333,-118
0.002625,-113
0.00266667,-155
0.00270833,-237
0.00275,-300
0.00279167,-310
0.00283333,-282
0.002875,-211
0.00291667,-145
0.00295833,-160
0.003,-269
0.00304167,-388
0.00308333,-467
0.003125,-524
0.00316667,-571
0.00320833,-587
0.00325,-606
0.00329167,-621
0.00333333,-536
0.003375,-360
0.00341667,-215
0.00345833,-121
0.0035,30
0.00354167,244
0.00358333,440
0.003625,612
0.00366667,826
0.00370833,1076
0.00375,1300
0.00379167,1540
0.00383333,1803
0.003875,2036
0.00391667,2223
0.00395833,2366
0.004,2481
0.00404167,2587
0.00408333,2705
0.004125,2844
0.00416667,3012
0.00420833,3194
0.00425,3393
0.00429167,3631
0.00433333,3883
0.004375,4057
0.00441667,4140
0.00445833,4220
0.0045,4329
0.00454167,4386
0.00458333,4354
0.004625,4279
0.00466667,4178
0.00470833,4055
0.00475,3922
0.00479167,3745
0.00483333,3438
0.004875,2966
0.00491667,2415
0.00495833,1810
0.005,1090
0.00504167,241
0.00508333,-689
0.005125,-1692
0.00516667,-2796
0.00520833,-3998
0.00525,-5264
0.00529167,-6608
0.00533333,-7944
0.005375,-8202
0.00541667,-8202
0.00545833,-8202
0.0055,-8202
0.00554167,-8202
0.00558333,-8202
0.005625,-8202
0.00566667,-8202
0.00570833,-8202
0.00575,-8202
0.00579167,-8202
0.00583333,-8202
0.005875,-8202
0.00591667,-8202
0.00595833,-8202
0.006,-8202
0.00604167,-8202
0.00608333,-8202
0.006125,-8182
0.00616667,-7913
0.00620833,-7591
0.00625,-7284
0.00629167,-6988
0.00633333,-6706
0.006375,-6437
0.00641667,-6176
0.00645833,-5929
0.0065,-5690
0.00654167,-5252
0.00658333,-3969
0.006625,-2669
0.00666667,-1499
0.00670833,-458
0.00675,463
0.00679167,1269
0.00683333,1975
0.006875,2590
0.00691667,3123
0.00695833,3580
0.007,3974
0.00704167,4381
0.00708333,5569
0.007125,6871
0.00716667,7968
0.00720833,8181
0.00725,8181
0.00729167,8181
0.00733333,8181
0.007375,8181
0.00741667,8181
0.00745833,8181
0.0075,8181
0.00754167,8181
0.00758333,8181
0.007625,8181
0.00766667,8181
0.00770833,8181
0.00775,7611
0.00779167,6354
0.00783333,4918
0.007875,3375
0.00791667,1809
0.00795833,283
0.008,-1177
0.00804167,-2533
0.00808333,-3728
0.008125,-4693
0.00816667,-5234
0.00820833,-4909
0.00825,-4167
0.00829167,-3414
0.00833333,-2723
0.008375,-2102
0.00841667,-1550
0.00845833,-1060
0.0085,-622
0.00854167,-235
0.00858333,104
0.008625,403
0.00866667,661
0.00870833,888
0.00875,1497
0.00879167,2910
0.00883333,4248
0.008875,5474
0.00891667,6603
0.00895833,7649
0.009,8181
0.00904167,8181
0.00908333,8181
0.009125,8181
0.00916667,8181
0.00920833,8093
0.00925,7095
0.00929167,5624
0.00933333,3863
0.009375,1881
0.00941667,-185
0.00945833,-2257
0.0095,-4265
0.00954167,-6037
0.00958333,-7132
0.009625,-6923
0.00966667,-6166
0.00970833,-5377
0.00975,-4647
0.00979167,-3986
0.00983333,-3390
0.009875,-2852
0.00991667,-2369
0.00995833,-1936
0.01,-1549
0.0100417,-1201
0.0100833,-893
0.010125,-620
0.0101667,-377
0.0102083,-166
0.01025,22
0.0102917,185
0.0103333,329
0.010375,453
0.0104167,562
0.0104583,655
0.0105,731
0.0105417,797
0.0105833,853
0.010625,899
0.0106667,935
0.0107083,965
0.01075,983
0.0107917,1000
0.0108333,1011
0.010875,1016
0.0109167,1016
0.0109583,1013
0.011,1006
0.0110417,999
0.0110833,984
0.011125,974
0.0111667,957
0.0112083,941
0.01125,922
0.0112917,901
0.0113333,882
0.011375,860
0.0114167,840
0.0114583,816
0.0115,792
0.0115417,772
0.0115833,750
0.011625,725
0.0116667,703
0.0117083,680
0.01175,659
0.0117917,638
0.0118333,617
0.011875,594
