с,code
0,42
4.16667E-05,45
8.33333E-05,45
0.000125,50
0.000166667,58
0.000208333,77
0.00025,106
0.000291667,134
0.000333333,153
0.000375,164
0.000416667,167
0.000458333,162
0.0005,150
0.000541667,148
0.000583333,160
0.000625,175
0.000666667,192
0.000708333,217
0.00075,248
0.000791667,262
0.000833333,267
0.000875,260
0.000916667,240
0.000958333,214
0.001,194
0.00104167,188
0.00108333,191
0.001125,205
0.00116667,221
0.00120833,239
0.00125,247
0.00129167,248
0.00133333,230
0.001375,202
0.00141667,159
0.00145833,117
0.0015,94
0.00154167,74
0.00158333,46
0.001625,8
0.00166667,-24
0.00170833,-47
0.00175,-77
0.00179167,-129
0.00183333,-176
0.001875,-221
0.00191667,-274
0.00195833,-333
0.002,-374
0.00204167,-400
0.00208333,-428
0.002125,-466
0.00216667,-503
0.00220833,-531
0.00225,-579
0.00229167,-639
0.00233333,-695
0.002375,-762
0.00241667,-853
0.00245833,-963
0.0025,-1053
0.00254167,-1140
0.00258333,-1236
0.002625,-1339
0.00266667,-1446
0.00270833,-1585
0.00275,-1755
0.00279167,-1931
0.00283333,-2112
0.002875,-2327
0.00291667,-2568
0.00295833,-2810
0.003,-3046
0.00304167,-3288
0.00308333,-3539
0.003125,-3780
0.00316667,-4020
0.00320833,-4288
0.00325,-4581
0.00329167,-4868
0.00333333,-5148
0.003375,-5433
0.00341667,-5711
0.00345833,-5953
0.0035,-6173
0.00354167,-6376
0.00358333,-6530
0.003625,-6637
0.00366667,-6727
0.00370833,-6799
0.00375,-6810
0.00379167,-6769
0.00383333,-6696
0.003875,-6569
0.00391667,-6367
0.00395833,-6116
0.004,-5845
0.00404167,-5538
0.00408333,-5180
0.004125,-4794
0.00416667,-4400
0.00420833,-3986
0.00425,-3543
0.00429167,-3097
0.00433333,-2682
0.004375,-2285
0.00441667,-1878
0.00445833,-1481
0.0045,-1119
0.00454167,-785
0.00458333,-461
0.004625,-167
0.00466667,85
0.00470833,312
0.00475,530
0.00479167,736
0.00483333,924
0.004875,1101
0.00491667,1253
0.00495833,1360
0.005,1443
0.00504167,1508
0.00508333,1542
0.005125,1545
0.00516667,1545
0.00520833,1554
0.00525,1559
0.00529167,1548
0.00533333,1523
0.005375,1485
0.00541667,1454
0.00545833,1423
0.0055,1379
0.00554167,1321
0.00558333,1248
0.005625,1183
0.00566667,1135
0.00570833,1077
0.00575,1016
0.00579167,984
0.00583333,993
0.005875,1005
0.00591667,1013
0.00595833,1052
0.006,1113
0.00604167,1168
0.00608333,1222
0.006125,1297
0.00616667,1402
0.00620833,1532
0.00625,1674
0.00629167,1806
0.00633333,1925
0.006375,2054
0.00641667,2206
0.00645833,2341
0.0065,2444
0.00654167,2536
0.00658333,2617
0.006625,2679
0.00666667,2726
0.00670833,2766
0.00675,2808
0.00679167,2855
0.00683333,2900
0.006875,2927
0.00691667,2939
0.00695833,2959
0.007,2986
0.00704167,3007
0.00708333,3019
0.007125,3039
0.00716667,3056
0.00720833,3083
0.00725,3123
0.00729167,3176
0.00733333,3234
0.007375,3288
0.00741667,3372
0.00745833,3478
0.0075,3585
0.00754167,3698
0.00758333,3820
0.007625,3944
0.00766667,4066
0.00770833,4181
0.00775,4296
0.00779167,4415
0.00783333,4532
0.007875,4637
0.00791667,4717
0.00795833,4780
0.008,4832
0.00804167,4865
0.00808333,4872
0.008125,4855
0.00816667,4822
0.00820833,4755
0.00825,4669
0.00829167,4577
0.00833333,4465
0.008375,4323
0.00841667,4159
0.00845833,3994
0.0085,3825
0.00854167,3630
0.00858333,3413
0.008625,3190
0.00866667,2963
0.00870833,2701
0.00875,2409
0.00879167,2120
0.00883333,1825
0.008875,1501
0.00891667,1151
0.00895833,802
0.009,464
0.00904167,116
0.00908333,-242
0.009125,-582
0.00916667,-906
0.00920833,-1234
0.00925,-1565
0.00929167,-1856
0.00933333,-2091
0.009375,-2303
0.00941667,-2487
0.00945833,-2607
0.0095,-2656
0.00954167,-2659
0.00958333,-2625
0.009625,-2537
0.00966667,-2398
0.00970833,-2223
0.00975,-2016
0.00979167,-1773
0.00983333,-1507
0.009875,-1233
0.00991667,-948
0.00995833,-646
0.01,-344
0.0100417,-56
0.0100833,220
0.010125,487
0.0101667,733
0.0102083,944
0.01025,1128
0.0102917,1297
0.0103333,1439
0.010375,1552
0.0104167,1642
0.0104583,1724
0.0105,1778
0.0105417,1799
0.0105833,1790
0.010625,1758
0.0106667,1704
0.0107083,1624
0.01075,1524
0.0107917,1399
0.0108333,1245
0.010875,1078
0.0109167,903
0.0109583,720
0.011,530
0.0110417,340
0.0110833,154
0.011125,-33
0.0111667,-214
0.0112083,-390
0.01125,-561
0.0112917,-736
0.0113333,-913
0.011375,-1084
0.0114167,-1244
0.0114583,-1394
