с,code
0,58
4.16667E-05,88
8.33333E-05,101
0.000125,109
0.000166667,140
0.000208333,174
0.00025,202
0.000291667,241
0.000333333,282
0.000375,299
0.000416667,309
0.000458333,359
0.0005,464
0.000541667,595
0.000583333,732
0.000625,871
0.000666667,1001
0.000708333,1084
0.00075,1134
0.000791667,1176
0.000833333,1217
0.000875,1273
0.000916667,1372
0.000958333,1528
0.001,1725
0.00104167,1945
0.00108333,2162
0.001125,2370
0.00116667,2560
0.00120833,2726
0.00125,2869
0.00129167,3009
0.00133333,3170
0.001375,3386
0.00141667,3642
0.00145833,3900
0.0015,4182
0.00154167,4489
0.00158333,4771
0.001625,4981
0.00166667,5143
0.00170833,5303
0.00175,5464
0.00179167,5596
0.00183333,5723
0.001875,5920
0.00191667,6188
0.00195833,6456
0.002,6703
0.00204167,6944
0.00208333,7151
0.002125,7318
0.00216667,7457
0.00220833,7533
0.00225,7479
0.00229167,7309
0.00233333,7091
0.002375,6909
0.00241667,6719
0.00245833,6476
0.0025,6182
0.00254167,5817
0.00258333,5321
0.002625,4682
0.00266667,3920
0.00270833,3041
0.00275,2074
0.00279167,1031
0.00283333,-80
0.002875,-1259
0.00291667,-2525
0.00295833,-3882
0.003,-5356
0.00304167,-6973
0.00308333,-8202
0.003125,-8202
0.00316667,-8202
0.00320833,-8202
0.00325,-8202
0.00329167,-8202
0.00333333,-8202
0.003375,-8202
0.00341667,-8202
0.00345833,-8202
0.0035,-8202
0.00354167,-8202
0.00358333,-8202
0.003625,-8202
0.00366667,-8202
0.00370833,-8202
0.00375,-8202
0.00379167,-8202
0.00383333,-8202
0.003875,-8202
0.00391667,-8202
0.00395833,-8202
0.004,-8202
0.00404167,-8202
0.00408333,-8202
0.004125,-8202
0.00416667,-8202
0.00420833,-8032
0.00425,-7705
0.00429167,-7394
0.00433333,-7094
0.004375,-6810
0.00441667,-6535
0.00445833,-6274
0.0045,-6022
0.00454167,-5480
0.00458333,-4138
0.004625,-2521
0.00466667,-298
0.00470833,1774
0.00475,3734
0.00479167,5604
0.00483333,7397
0.004875,8181
0.00491667,8181
0.00495833,8181
0.005,8181
0.00504167,8181
0.00508333,8181
0.005125,8181
0.00516667,8181
0.00520833,8181
0.00525,8181
0.00529167,8181
0.00533333,8181
0.005375,8181
0.00541667,8181
0.00545833,8181
0.0055,8181
0.00554167,8181
0.00558333,8181
0.005625,8021
0.00566667,6410
0.00570833,4415
0.00575,2414
0.00579167,475
0.00583333,-1428
0.005875,-3290
0.00591667,-5031
0.00595833,-6604
0.006,-7942
0.00604167,-8202
0.00608333,-8202
0.006125,-8202
0.00616667,-8202
0.00620833,-8202
0.00625,-8202
0.00629167,-8202
0.00633333,-8202
0.006375,-7384
0.00641667,-6098
0.00645833,-4714
0.0065,-3277
0.00654167,-1790
0.00658333,-245
0.006625,1332
0.00666667,2872
0.00670833,4318
0.00675,5611
0.00679167,6699
0.00683333,7506
0.006875,7980
0.00691667,8119
0.00695833,7961
0.007,7532
0.00704167,6860
0.00708333,5946
0.007125,4802
0.00716667,3429
0.00720833,1835
0.00725,24
0.00729167,-1959
0.00733333,-4029
0.007375,-6073
0.00741667,-7859
0.00745833,-8202
0.0075,-8202
0.00754167,-8202
0.00758333,-8202
0.007625,-8202
0.00766667,-8202
0.00770833,-8202
0.00775,-8202
0.00779167,-7906
0.00783333,-6816
0.007875,-5745
0.00791667,-4710
0.00795833,-3721
0.008,-2767
0.00804167,-1867
0.00808333,-1034
0.008125,-278
0.00816667,393
0.00820833,976
0.00825,1472
0.00829167,1880
0.00833333,2213
0.008375,2510
0.00841667,2774
0.00845833,3009
0.0085,3217
0.00854167,3401
0.00858333,3562
0.008625,3664
0.00866667,3706
0.00870833,3685
0.00875,3602
0.00879167,3465
0.00883333,3275
0.008875,3046
0.00891667,2793
0.00895833,2526
0.009,2225
0.00904167,1890
0.00908333,1537
0.009125,1180
0.00916667,834
0.00920833,564
0.00925,523
0.00929167,644
0.00933333,784
0.009375,909
0.00941667,1017
0.00945833,1108
0.0095,1185
0.00954167,1249
