c,code
0.0155417,-1068
0.0155833,-660
0.015625,-239
0.0156667,210
0.0157083,680
0.01575,1164
0.0157917,1669
0.0158333,2198
0.015875,2740
0.0159167,3282
0.0159583,3851
0.016,4453
0.0160417,5080
0.0160833,5732
0.016125,6431
0.0161667,7166
0.0162083,7886
0.01625,8053
0.0162917,8053
0.0163333,8053
0.016375,8053
0.0164167,8053
0.0164583,8053
0.0165,8053
0.0165417,8053
0.0165833,8053
0.016625,8053
0.0166667,8053
0.0167083,8053
0.01675,8053
0.0167917,8053
0.0168333,8053
0.016875,8053
0.0169167,8053
0.0169583,8053
0.017,8053
0.0170417,8053
0.0170833,8053
0.017125,8053
0.0171667,8053
0.0172083,8053
0.01725,7591
0.0172917,6866
0.0173333,6116
0.017375,5325
0.0174167,4491
0.0174583,3639
0.0175,2783
0.0175417,1918
0.0175833,1059
0.017625,234
0.0176667,-549
0.0177083,-1301
0.01775,-1999
0.0177917,-2604
0.0178333,-3122
0.017875,-3580
0.0179167,-3974
0.0179583,-4268
0.018,-4450
0.0180417,-4529
0.0180833,-4513
0.018125,-4408
0.0181667,-4234
0.0182083,-4013
0.01825,-3747
0.0182917,-3438
0.0183333,-3102
0.018375,-2777
0.0184167,-2468
0.0184583,-2162
0.0185,-1910
0.0185417,-1775
0.0185833,-1764
0.018625,-1823
0.0186667,-1945
0.0187083,-2152
0.01875,-2416
0.0187917,-2709
0.0188333,-3036
0.018875,-3403
0.0189167,-3808
0.0189583,-4234
0.019,-4672
0.0190417,-5104
0.0190833,-5518
0.019125,-5908
0.0191667,-6282
0.0192083,-6621
0.01925,-6922
0.0192917,-7195
0.0193333,-7452
0.019375,-7707
0.0194167,-7949
0.0194583,-8178
0.0195,-8330
0.0195417,-8330
0.0195833,-8330
0.019625,-8330
0.0196667,-8330
0.0197083,-8330
0.01975,-8330
0.0197917,-8330
0.0198333,-8330
0.019875,-8330
0.0199167,-8330
0.0199583,-8330
0.02,-8330
0.0200417,-8330
0.0200833,-8330
0.020125,-8330
0.0201667,-8330
0.0202083,-8330
0.02025,-8330
0.0202917,-7762
0.0203333,-6777
0.020375,-5669
0.0204167,-4442
0.0204583,-3109
0.0205,-1720
0.0205417,-306
0.0205833,1117
0.020625,2511
0.0206667,3807
0.0207083,4978
0.02075,6042
0.0207917,6969
0.0208333,7719
0.020875,8053
0.0209167,8053
0.0209583,8053
0.021,8053
0.0210417,8053
0.0210833,8053
0.021125,8053
0.0211667,7979
0.0212083,7495
0.02125,6924
0.0212917,6310
0.0213333,5669
0.021375,5045
0.0214167,4468
0.0214583,3927
0.0215,3433
0.0215417,2995
0.0215833,2593
0.021625,2195
0.0216667,1807
0.0217083,1442
0.02175,1093
0.0217917,750
0.0218333,404
0.021875,60
0.0219167,-277
0.0219583,-614
0.022,-967
0.0220417,-1356
0.0220833,-1776
0.022125,-2203
0.0221667,-2648
0.0222083,-3108
0.02225,-3559
0.0222917,-3957
0.0223333,-4315
0.022375,-4606
0.0224167,-4814
0.0224583,-4921
0.0225,-4929
0.0225417,-4808
0.0225833,-4569
0.022625,-4217
0.0226667,-3763
0.0227083,-3190
0.02275,-2513
0.0227917,-1748
0.0228333,-927
0.022875,-55
0.0229167,829
0.0229583,1687
0.023,2483
0.0230417,3192
0.0230833,3794
0.023125,4258
0.0231667,4565
0.0232083,4720
0.02325,4726
0.0232917,4598
0.0233333,4336
0.023375,3946
0.0234167,3448
0.0234583,2860
0.0235,2169
0.0235417,1379
0.0235833,554
0.023625,-263
0.0236667,-1081
0.0237083,-1878
0.02375,-2592
0.0237917,-3186
0.0238333,-3670
0.023875,-4082
0.0239167,-4393
0.0239583,-4607
0.024,-4734
0.0240417,-4791
0.0240833,-4782
0.024125,-4699
0.0241667,-4581
0.0242083,-4463
0.02425,-4356
0.0242917,-4259
0.0243333,-4205
0.024375,-4210
0.0244167,-4286
0.0244583,-4416
0.0245,-4613
0.0245417,-4874
0.0245833,-5181
0.024625,-5515
0.0246667,-5869
0.0247083,-6209
0.02475,-6515
0.0247917,-6759
0.0248333,-6919
0.024875,-7013
0.0249167,-7037
0.0249583,-6959
0.025,-6755
0.0250417,-6421
0.0250833,-5968
0.025125,-5402
0.0251667,-4760
0.0252083,-4073
0.02525,-3337
0.0252917,-2583
0.0253333,-1832
0.025375,-1134
0.0254167,-504
0.0254583,44
0.0255,507
0.0255417,878
0.0255833,1156
0.025625,1343
0.0256667,1430
0.0257083,1423
0.02575,1301
0.0257917,1080
0.0258333,779
0.025875,397
0.0259167,-50
0.0259583,-522
0.026,-985
0.0260417,-1449
0.0260833,-1895
0.026125,-2294
0.0261667,-2639
0.0262083,-2947
0.02625,-3219
0.0262917,-3464
0.0263333,-3686
0.026375,-3910
0.0264167,-4133
0.0264583,-4326
0.0265,-4495
0.0265417,-4694
0.0265833,-4934
0.026625,-5168
0.0266667,-5412
0.0267083,-5722
0.02675,-6099
0.0267917,-6467
0.0268333,-6818
0.026875,-7239
0.0269167,-7697
0.0269583,-8106
0.027,-8330
0.0270417,-8330
0.0270833,-8330
0.027125,-8214
0.0271667,-7894
0.0272083,-7581
0.02725,-7281
0.0272917,-6994
0.0273333,-6717
0.027375,-6454
0.0274167,-6199
0.0274583,-5956
0.0275,-5725
0.0275417,-5500
0.0275833,-5285
0.027625,-5081
0.0276667,-4885
0.0277083,-4696
0.02775,-4501
0.0277917,-3915
0.0278333,-3175
0.027875,-2499
0.0279167,-1865
0.0279583,-1243
0.028,-661
0.0280417,-167
0.0280833,259
0.028125,638
0.0281667,951
0.0282083,1185
0.02825,1359
0.0282917,1547
0.0283333,1728
0.028375,1894
0.0284167,2067
0.0284583,2266
0.0285,2472
0.0285417,2682
0.0285833,2917
0.028625,3165
0.0286667,3412
0.0287083,3645
0.02875,3866
0.0287917,4103
0.0288333,4333
0.028875,4541
0.0289167,4718
0.0289583,4846
0.029,4893
0.0290417,4836
0.0290833,4682
0.029125,4445
0.0291667,4112
0.0292083,3655
0.02925,3091
0.0292917,2439
0.0293333,1684
0.029375,811
0.0294167,-124
0.0294583,-1101
0.0295,-2128
0.0295417,-3178
0.0295833,-4208
0.029625,-5226
0.0296667,-6196
0.0297083,-6751
0.02975,-6707
0.0297917,-6479
0.0298333,-6227
0.029875,-5977
0.0299167,-5739
0.0299583,-5511
0.03,-5292
0.0300417,-5082
0.0300833,-4882
0.030125,-4690
0.0301667,-4504
0.0302083,-4328
0.03025,-4161
0.0302917,-3999
0.0303333,-3842
0.030375,-3694
0.0304167,-3552
0.0304583,-3416
0.0305,-3287
0.0305417,-3161
0.0305833,-3040
0.030625,-2925
0.0306667,-2816
0.0307083,-2711
0.03075,-2609
0.0307917,-2512
0.0308333,-2418
0.030875,-2330
0.0309167,-2243
0.0309583,-2161
0.031,-2038
0.0310417,-940
0.0310833,690
0.031125,2386
0.0311667,4115
0.0312083,5870
0.03125,7622
0.0312917,8053
0.0313333,8053
0.031375,8053
0.0314167,8053
0.0314583,8053
0.0315,8053
0.0315417,8053
0.0315833,8053
0.031625,8053
0.0316667,8053
0.0317083,8053
0.03175,8053
0.0317917,8053
0.0318333,8053
0.031875,8053
0.0319167,8053
0.0319583,8053
0.032,8053
0.0320417,8053
0.0320833,8053
0.032125,8053
0.0321667,8053
0.0322083,8053
0.03225,8053
0.0322917,8053
0.0323333,8053
0.032375,8053
0.0324167,8053
0.0324583,7962
0.0325,7418
0.0325417,6853
0.0325833,6299
0.032625,5770
0.0326667,5331
0.0327083,4958
0.03275,4555
0.0327917,4107
0.0328333,3671
0.032875,3261
0.0329167,2788
0.0329583,2245
0.033,1730
0.0330417,1407
0.0330833,810
0.033125,171
0.0331667,-432
0.0332083,-1001
0.03325,-1613
0.0332917,-2222
0.0333333,-2738
0.033375,-3204
0.0334167,-3664
0.0334583,-3983
0.0335,-4167
0.0335417,-4336
0.0335833,-4489
0.033625,-4531
0.0336667,-4470
0.0337083,-4422
0.03375,-4371
0.0337917,-4267
0.0338333,-4152
0.033875,-4084
0.0339167,-4032
0.0339583,-3933
0.034,-3844
0.0340417,-3814
0.0340833,-3808
0.034125,-3798
0.0341667,-3786
0.0342083,-3822
0.03425,-3859
0.0342917,-3853
0.0343333,-3797
0.034375,-3722
0.0344167,-3622
0.0344583,-3438
0.0345,-3116
0.0345417,-2670
0.0345833,-2135
0.034625,-1480
0.0346667,-714
0.0347083,132
0.03475,1076
0.0347917,2127
0.0348333,3223
0.034875,4305
0.0349167,5391
0.0349583,6517
0.035,7602
0.0350417,8246
0.0350833,8246
0.035125,8246
0.0351667,8246
0.0352083,8246
0.03525,8246
0.0352917,8246
0.0353333,8246
0.035375,8246
0.0354167,8246
0.0354583,8246
0.0355,8246
0.0355417,8246
0.0355833,8246
0.035625,8246
0.0356667,8246
0.0357083,8246
0.03575,8246
0.0357917,8246
0.0358333,8246
0.035875,8246
0.0359167,8192
0.0359583,7713
0.036,7111
0.0360417,6506
0.0360833,5895
0.036125,5241
0.0361667,4549
0.0362083,3781
0.03625,2768
0.0362917,1289
0.0363333,-291
0.036375,-1723
0.0364167,-2985
0.0364583,-4080
0.0365,-5029
0.0365417,-5851
0.0365833,-6559
0.036625,-7165
0.0366667,-7678
0.0367083,-8073
0.03675,-8137
0.0367917,-8137
0.0368333,-8137
0.036875,-8137
0.0369167,-8137
0.0369583,-8137
0.037,-8137
0.0370417,-8137
0.0370833,-8137
0.037125,-8137
0.0371667,-8137
0.0372083,-8137
0.03725,-8137
0.0372917,-8137
0.0373333,-8137
0.037375,-8137
0.0374167,-8137
0.0374583,-8122
0.0375,-7970
0.0375417,-7788
0.0375833,-7600
0.037625,-7409
0.0376667,-7219
0.0377083,-7026
0.03775,-6835
0.0377917,-6640
0.0378333,-6449
0.037875,-6258
0.0379167,-6069
0.0379583,-5880
0.038,-5694
0.0380417,-5513
0.0380833,-5333
0.038125,-5159
0.0381667,-4989
0.0382083,-4823
0.03825,-4662
0.0382917,-4500
0.0383333,-4347
0.038375,-4195
0.0384167,-4045
0.0384583,-3901
0.0385,-3762
0.0385417,-3625
0.0385833,-3495
0.038625,-3368
0.0386667,-3246
0.0387083,-3125
0.03875,-3009
0.0387917,-2893
0.0388333,-2782
0.038875,-2677
0.0389167,-2573
0.0389583,-2475
0.039,-2377
0.0390417,-2285
0.0390833,-2195
0.039125,-2110
0.0391667,-2024
0.0392083,-1942
0.03925,-1865
0.0392917,-1787
0.0393333,-1713
0.039375,-1643
0.0394167,-1573
0.0394583,-1508
0.0395,-1445
0.0395417,-1383
0.0395833,-1324
0.039625,-1266
0.0396667,-1212
0.0397083,-1160
0.03975,-1110
0.0397917,-1062
0.0398333,-1015
0.039875,-971
0.0399167,-929
0.0399583,-890
0.04,0
