с,code
0,39
4.16667E-05,44
8.33333E-05,63
0.000125,78
0.000166667,75
0.000208333,80
0.00025,92
0.000291667,102
0.000333333,102
0.000375,120
0.000416667,149
0.000458333,164
0.0005,169
0.000541667,174
0.000583333,180
0.000625,189
0.000666667,206
0.000708333,228
0.00075,245
0.000791667,260
0.000833333,283
0.000875,315
0.000916667,340
0.000958333,355
0.001,368
0.00104167,377
0.00108333,373
0.001125,356
0.00116667,352
0.00120833,365
0.00125,363
0.00129167,351
0.00133333,357
0.001375,382
0.00141667,390
0.00145833,386
0.0015,394
0.00154167,405
0.00158333,397
0.001625,380
0.00166667,375
0.00170833,361
0.00175,327
0.00179167,298
0.00183333,289
0.001875,290
0.00191667,279
0.00195833,263
0.002,238
0.00204167,202
0.00208333,147
0.002125,86
0.00216667,28
0.00220833,-38
0.00225,-121
0.00229167,-203
0.00233333,-270
0.002375,-348
0.00241667,-440
0.00245833,-529
0.0025,-613
0.00254167,-727
0.00258333,-869
0.002625,-992
0.00266667,-1106
0.00270833,-1253
0.00275,-1426
0.00279167,-1581
0.00283333,-1732
0.002875,-1917
0.00291667,-2116
0.00295833,-2304
0.003,-2488
0.00304167,-2682
0.00308333,-2882
0.003125,-3085
0.00316667,-3290
0.00320833,-3482
0.00325,-3665
0.00329167,-3847
0.00333333,-4026
0.003375,-4203
0.00341667,-4377
0.00345833,-4535
0.0035,-4693
0.00354167,-4848
0.00358333,-4984
0.003625,-5086
0.00366667,-5169
0.00370833,-5245
0.00375,-5291
0.00379167,-5291
0.00383333,-5275
0.003875,-5252
0.00391667,-5194
0.00395833,-5089
0.004,-4967
0.00404167,-4831
0.00408333,-4650
0.004125,-4428
0.00416667,-4187
0.00420833,-3934
0.00425,-3651
0.00429167,-3348
0.00433333,-3051
0.004375,-2777
0.00441667,-2530
0.00445833,-2288
0.0045,-2050
0.00454167,-1843
0.00458333,-1673
0.004625,-1523
0.00466667,-1385
0.00470833,-1290
0.00475,-1234
0.00479167,-1194
0.00483333,-1159
0.004875,-1146
0.00491667,-1157
0.00495833,-1186
0.005,-1223
0.00504167,-1262
0.00508333,-1283
0.005125,-1010
0.00516667,-1036
0.00520833,-1054
0.00525,-1037
0.00529167,-1013
0.00533333,-1001
0.005375,-975
0.00541667,-915
0.00545833,-833
0.0055,-767
0.00554167,-700
0.00558333,-599
0.005625,-483
0.00566667,-378
0.00570833,-283
0.00575,-170
0.00579167,-53
0.00583333,33
0.005875,109
0.00591667,228
0.00595833,369
0.006,485
0.00604167,605
0.00608333,766
0.006125,944
0.00616667,1102
0.00620833,1256
0.00625,1426
0.00629167,1593
0.00633333,1757
0.006375,1941
0.00641667,2139
0.00645833,2326
0.0065,2505
0.00654167,2700
0.00658333,2894
0.006625,3043
0.00666667,3154
0.00670833,3259
0.00675,3359
0.00679167,3420
0.00683333,3447
0.006875,3473
0.00691667,3500
0.00695833,3495
0.007,3461
0.00704167,3437
0.00708333,3421
0.007125,3384
0.00716667,3327
0.00720833,3283
0.00725,3251
0.00729167,3213
0.00733333,3254
0.007375,3374
0.00741667,3495
0.00745833,3594
0.0075,3671
0.00754167,3726
0.00758333,3763
0.007625,3784
0.00766667,3790
0.00770833,3784
0.00775,3768
0.00779167,3742
0.00783333,3705
0.007875,3663
0.00791667,3615
0.00795833,3561
0.008,3499
0.00804167,3439
0.00808333,3375
0.008125,3304
0.00816667,3233
0.00820833,3162
0.00825,3089
0.00829167,3016
0.00833333,2941
0.008375,2867
0.00841667,2795
0.00845833,2719
0.0085,2648
0.00854167,2596
0.00858333,2774
0.008625,2922
0.00866667,3030
0.00870833,3113
0.00875,3178
0.00879167,3226
0.00883333,3272
0.008875,3302
0.00891667,3312
0.00895833,3301
0.009,3276
0.00904167,3228
0.00908333,3158
0.009125,3074
0.00916667,2983
0.00920833,2871
0.00925,2724
0.00929167,2567
0.00933333,2404
0.009375,2220
0.00941667,1998
0.00945833,1756
0.0095,1525
0.00954167,1305
0.00958333,1062
0.009625,814
0.00966667,586
0.00970833,392
0.00975,207
0.00979167,37
0.00983333,-93
0.009875,-174
0.00991667,-241
0.00995833,-304
0.01,-346
0.0100417,-363
0.0100833,-358
0.010125,-340
0.0101667,-299
0.0102083,-247
0.01025,-187
0.0102917,-122
0.0103333,-54
0.010375,10
0.0104167,82
0.0104583,155
0.0105,227
0.0105417,302
0.0105833,378
0.010625,453
0.0106667,533
0.0107083,619
0.01075,711
0.0107917,809
0.0108333,906
0.010875,1011
0.0109167,1123
0.0109583,1234
0.011,1334
0.0110417,1412
0.0110833,1475
0.011125,1530
0.0111667,1561
0.0112083,1576
0.01125,1581
0.0112917,1562
0.0113333,1516
0.011375,1442
0.0114167,1346
0.0114583,1229
0.0115,1084
0.0115417,909
0.0115833,715
0.011625,516
0.0116667,317
0.0117083,105
0.01175,-106
0.0117917,-289
0.0118333,-445
0.011875,-606
0.0119167,-760
0.0119583,-883
0.012,-972
0.0120417,-1053
0.0120833,-1122
0.012125,-1150
0.0121667,-1144
0.0122083,-1120
0.01225,-1089
0.0122917,-1043
0.0123333,-973
0.012375,-892
0.0124167,-810
0.0124583,-719
0.0125,-618
0.0125417,-514
0.0125833,-412
0.012625,-308
0.0126667,-199
0.0127083,-88
0.01275,25
0.0127917,141
0.0128333,259
0.012875,367
0.0129167,462
0.0129583,548
0.013,616
0.0130417,671
0.0130833,723
0.013125,763
0.0131667,784
0.0132083,791
0.01325,794
0.0132917,788
0.0133333,776
0.013375,762
0.0134167,734
0.0134583,690
0.0135,649
0.0135417,609
0.0135833,560
0.013625,489
0.0136667,422
0.0137083,366
0.01375,310
0.0137917,242
0.0138333,172
0.013875,121
0.0139167,84
0.0139583,53
0.014,30
0.0140417,12
0.0140833,6
0.014125,5
0.0141667,-2
0.0142083,-4
0.01425,10
0.0142917,31
0.0143333,54
0.014375,82
0.0144167,125
0.0144583,179
0.0145,226
0.0145417,278
0.0145833,342
0.014625,405
0.0146667,469
0.0147083,532
0.01475,606
0.0147917,677
0.0148333,744
0.014875,818
0.0149167,900
0.0149583,976
0.015,1044
0.0150417,1119
0.0150833,1190
0.015125,1245
0.0151667,1286
0.0152083,1324
0.01525,1360
0.0152917,1379
0.0153333,1391
0.015375,1402
0.0154167,1401
0.0154583,1385
0.0155,1358
0.0155417,1329
0.0155833,1301
0.015625,1267
0.0156667,1223
0.0157083,1179
0.01575,1136
0.0157917,1099
0.0158333,1045
0.015875,981
0.0159167,914
0.0159583,847
0.016,780
0.0160417,704
0.0160833,619
0.016125,535
0.0161667,457
0.0162083,385
0.01625,313
0.0162917,244
0.0163333,166
0.016375,86
0.0164167,21
0.0164583,-16
0.0165,-45
0.0165417,-79
0.0165833,-99
0.016625,-90
0.0166667,-71
0.0167083,-51
0.01675,-20
0.0167917,17
0.0168333,51
0.016875,97
0.0169167,146
0.0169583,192
0.017,230
0.0170417,275
0.0170833,330
0.017125,383
0.0171667,435
0.0172083,492
0.01725,559
0.0172917,628
0.0173333,699
0.017375,764
0.0174167,831
0.0174583,918
0.0175,1018
0.0175417,1120
0.0175833,1212
0.017625,1308
0.0176667,1414
0.0177083,1507
0.01775,1588
0.0177917,1666
0.0178333,1739
0.017875,1796
0.0179167,1844
0.0179583,1877
0.018,1899
0.0180417,1902
0.0180833,1888
0.018125,1864
0.0181667,1828
0.0182083,1765
0.01825,1680
0.0182917,1587
0.0183333,1498
0.018375,1388
0.0184167,1270
0.0184583,1173
0.0185,1091
0.0185417,999
0.0185833,915
0.018625,860
0.0186667,823
0.0187083,778
0.01875,751
0.0187917,766
0.0188333,797
0.018875,814
0.0189167,846
0.0189583,906
0.019,971
0.0190417,1032
0.0190833,1109
0.019125,1213
0.0191667,1322
0.0192083,1415
0.01925,1501
0.0192917,1589
0.0193333,1683
0.019375,1773
0.0194167,1867
0.0194583,1966
0.0195,2061
0.0195417,2141
0.0195833,2216
0.019625,2301
0.0196667,2386
0.0197083,2454
0.01975,2527
0.0197917,2601
0.0198333,2660
0.019875,2713
0.0199167,2772
0.0199583,2825
0.02,2858
0.0200417,2872
0.0200833,2880
0.020125,2883
0.0201667,2875
0.0202083,2851
0.02025,2814
0.0202917,2771
0.0203333,2718
0.020375,2664
0.0204167,2620
0.0204583,2573
0.0205,2506
0.0205417,2439
0.0205833,2396
0.020625,2373
0.0206667,2347
0.0207083,2326
0.02075,2332
0.0207917,2356
0.0208333,2389
0.020875,2454
0.0209167,2544
0.0209583,2634
0.021,2720
0.0210417,2811
0.0210833,2903
0.021125,2981
0.0211667,3045
0.0212083,3097
0.02125,3140
0.0212917,3179
0.0213333,3211
0.021375,3228
0.0214167,3226
0.0214583,3204
0.0215,3171
0.0215417,3130
0.0215833,3090
0.021625,3037
0.0216667,2965
0.0217083,2888
0.02175,2798
0.0217917,2690
0.0218333,2575
0.021875,2469
0.0219167,2362
0.0219583,2233
0.022,2095
0.0220417,1970
0.0220833,1846
0.022125,1698
0.0221667,1546
0.0222083,1399
0.02225,1251
0.0222917,1085
0.0223333,905
0.022375,732
0.0224167,554
0.0224583,354
0.0225,149
0.0225417,-48
0.0225833,-246
0.022625,-472
0.0226667,-708
0.0227083,-934
0.02275,-1162
0.0227917,-1382
0.0228333,-1584
0.022875,-1759
0.0229167,-1923
0.0229583,-2093
0.023,-2251
0.0230417,-2366
0.0230833,-2442
0.023125,-2504
0.0231667,-2558
0.0232083,-2560
0.02325,-2526
0.0232917,-2490
0.0233333,-2446
0.023375,-2359
0.0234167,-2248
0.0234583,-2146
0.0235,-2030
0.0235417,-1872
0.0235833,-1704
0.023625,-1555
0.0236667,-1410
0.0237083,-1259
0.02375,-1122
0.0237917,-1011
0.0238333,-902
0.023875,-811
0.0239167,-749
