с,code
0,48
4.16667E-05,50
8.33333E-05,48
0.000125,53
0.000166667,58
0.000208333,50
0.00025,39
0.000291667,32
0.000333333,31
0.000375,26
0.000416667,17
0.000458333,9
0.0005,5
0.000541667,-5
0.000583333,-15
0.000625,-25
0.000666667,-27
0.000708333,-29
0.00075,-32
0.000791667,-30
0.000833333,-24
0.000875,-19
0.000916667,-14
0.000958333,-6
0.001,-2
0.00104167,4
0.00108333,11
0.001125,13
0.00116667,16
0.00120833,22
0.00125,22
0.00129167,25
0.00133333,24
0.001375,25
0.00141667,22
0.00145833,19
0.0015,19
0.00154167,14
0.00158333,6
0.001625,-1
0.00166667,-7
0.00170833,-10
0.00175,-15
0.00179167,-18
0.00183333,-25
0.001875,-18
0.00191667,-12
0.00195833,-15
0.002,-18
0.00204167,-13
0.00208333,-4
0.002125,1
0.00216667,6
0.00220833,17
0.00225,25
0.00229167,27
0.00233333,30
0.002375,33
0.00241667,35
0.00245833,37
0.0025,34
0.00254167,26
0.00258333,15
0.002625,12
0.00266667,5
0.00270833,-6
0.00275,-11
0.00279167,-11
0.00283333,-12
0.002875,-22
0.00291667,-32
0.00295833,-35
0.003,-29
0.00304167,-32
0.00308333,-36
0.003125,-31
0.00316667,-23
0.00320833,-17
0.00325,-15
0.00329167,-6
0.00333333,10
0.003375,16
0.00341667,21
0.00345833,29
0.0035,36
0.00354167,41
0.00358333,42
0.003625,40
0.00366667,38
0.00370833,34
0.00375,29
0.00379167,27
0.00383333,26
0.003875,15
0.00391667,0
0.00395833,-11
0.004,-19
0.00404167,-31
0.00408333,-41
0.004125,-43
0.00416667,-49
0.00420833,-58
0.00425,-65
0.00429167,-62
0.00433333,-56
0.004375,-54
0.00441667,-51
0.00445833,-38
0.0045,-28
0.00454167,-21
0.00458333,-18
0.004625,-16
0.00466667,-11
0.00470833,-7
0.00475,0
0.00479167,17
0.00483333,31
0.004875,40
0.00491667,55
0.00495833,70
0.005,66
0.00504167,50
0.00508333,42
0.005125,27
0.00516667,14
0.00520833,2
0.00525,1
0.00529167,10
0.00533333,34
0.005375,67
0.00541667,99
0.00545833,116
0.0055,120
0.00554167,115
0.00558333,106
0.005625,86
0.00566667,50
0.00570833,19
0.00575,2
0.00579167,-2
0.00583333,-10
0.005875,-13
0.00591667,-12
0.00595833,-19
0.006,-50
0.00604167,-83
0.00608333,-120
0.006125,-185
0.00616667,-253
0.00620833,-282
0.00625,-273
0.00629167,-248
0.00633333,-208
0.006375,-146
0.00641667,-95
0.00645833,-59
0.0065,-24
0.00654167,19
0.00658333,57
0.006625,97
0.00666667,152
0.00670833,217
0.00675,274
0.00679167,316
0.00683333,356
0.006875,384
0.00691667,388
0.00695833,366
0.007,339
0.00704167,298
0.00708333,239
0.007125,156
0.00716667,82
0.00720833,6
0.00725,-90
0.00729167,-203
0.00733333,-327
0.007375,-466
0.00741667,-634
0.00745833,-827
0.0075,-1039
0.00754167,-1259
0.00758333,-1477
0.007625,-1690
0.00766667,-1912
0.00770833,-2124
0.00775,-2315
0.00779167,-2504
0.00783333,-2697
0.007875,-2871
0.00791667,-3034
0.00795833,-3197
0.008,-3331
0.00804167,-3421
0.00808333,-3478
0.008125,-3498
0.00816667,-3464
0.00820833,-3381
0.00825,-3270
0.00829167,-3151
0.00833333,-3033
0.008375,-2931
0.00841667,-2843
0.00845833,-2773
0.0085,-2736
0.00854167,-2725
0.00858333,-2728
0.008625,-2760
0.00866667,-2834
0.00870833,-2955
0.00875,-3131
0.00879167,-3356
0.00883333,-3623
0.008875,-3925
0.00891667,-4243
0.00895833,-4558
0.009,-4855
0.00904167,-5134
0.00908333,-5388
0.009125,-5605
0.00916667,-5777
0.00920833,-5905
0.00925,-5985
0.00929167,-6006
0.00933333,-5946
0.009375,-5796
0.00941667,-5575
0.00945833,-5293
0.0095,-4945
0.00954167,-4519
0.00958333,-4030
0.009625,-3508
0.00966667,-2959
0.00970833,-2387
0.00975,-1787
0.00979167,-1157
0.00983333,-510
0.009875,145
0.00991667,804
0.00995833,1485
0.01,2186
0.0100417,2882
0.0100833,3576
0.010125,4275
0.0101667,4966
0.0102083,5628
0.01025,6270
0.0102917,6900
0.0103333,7508
0.010375,8068
0.0104167,8179
0.0104583,8179
0.0105,8179
0.0105417,8179
0.0105833,8179
0.010625,8179
0.0106667,8179
0.0107083,8179
0.01075,8179
0.0107917,8179
0.0108333,8179
0.010875,8179
0.0109167,8179
0.0109583,8179
0.011,8179
0.0110417,8179
0.0110833,8179
0.011125,8179
0.0111667,8179
0.0112083,7965
0.01125,6975
0.0112917,5894
0.0113333,4762
0.011375,3623
0.0114167,2515
0.0114583,1426
0.0115,363
0.0115417,-625
0.0115833,-1527
0.011625,-2355
0.0116667,-3090
0.0117083,-3700
0.01175,-4169
0.0117917,-4508
0.0118333,-4716
0.011875,-4788
0.0119167,-4743
0.0119583,-4601
0.012,-4359
0.0120417,-4018
0.0120833,-3604
0.012125,-3162
0.0121667,-2688
0.0122083,-2165
0.01225,-1633
0.0122917,-1136
0.0123333,-634
0.012375,-115
0.0124167,381
0.0124583,839
0.0125,1284
0.0125417,1714
0.0125833,2107
0.012625,2478
0.0126667,2843
0.0127083,3194
0.01275,3523
0.0127917,3850
0.0128333,4180
0.012875,4486
0.0129167,4769
0.0129583,5034
0.013,5275
0.0130417,5467
0.0130833,5609
0.013125,5708
0.0131667,5759
0.0132083,5737
0.01325,5631
0.0132917,5441
0.0133333,5161
0.013375,4776
0.0134167,4275
0.0134583,3675
0.0135,2991
0.0135417,2220
0.0135833,1381
0.013625,486
0.0136667,-440
0.0137083,-1369
0.01375,-2279
0.0137917,-3157
0.0138333,-3976
0.013875,-4706
0.0139167,-5339
0.0139583,-5877
0.014,-6306
0.0140417,-6600
0.0140833,-6763
0.014125,-6820
0.0141667,-6754
0.0142083,-6546
0.01425,-6223
0.0142917,-5810
0.0143333,-5312
0.014375,-4740
0.0144167,-4127
0.0144583,-3486
0.0145,-2819
0.0145417,-2139
0.0145833,-1475
0.014625,-844
0.0146667,-250
0.0147083,310
0.01475,832
0.0147917,1299
0.0148333,1706
0.014875,2067
0.0149167,2389
0.0149583,2662
0.015,2899
0.0150417,3110
0.0150833,3278
0.015125,3398
0.0151667,3497
0.0152083,3583
0.01525,3633
0.0152917,3636
0.0153333,3613
0.015375,3565
0.0154167,3456
0.0154583,3301
0.0155,3103
0.0155417,2825
0.0155833,2467
0.015625,2046
0.0156667,1557
0.0157083,975
0.01575,290
0.0157917,-481
0.0158333,-1329
0.015875,-2271
0.0159167,-3303
0.0159583,-4378
0.016,-5468
0.0160417,-6591
0.0160833,-7721
0.016125,-8204
0.0161667,-8204
0.0162083,-8204
0.01625,-8204
0.0162917,-8204
0.0163333,-8204
0.016375,-8204
0.0164167,-8204
0.0164583,-8204
0.0165,-8204
0.0165417,-8204
0.0165833,-8204
0.016625,-8204
0.0166667,-8204
0.0167083,-8204
0.01675,-8204
0.0167917,-8204
0.0168333,-8204
0.016875,-8204
0.0169167,-8204
0.0169583,-8136
0.017,-7801
0.0170417,-7122
0.0170833,-6355
0.017125,-5649
0.0171667,-4994
0.0172083,-4386
0.01725,-3826
0.0172917,-3311
0.0173333,-2838
0.017375,-2394
0.0174167,-1978
0.0174583,-1602
0.0175,-1246
0.0175417,-889
0.0175833,-527
0.017625,-183
0.0176667,161
0.0177083,510
0.01775,837
0.0177917,1127
0.0178333,1387
0.017875,1619
0.0179167,1808
0.0179583,1953
0.018,2073
0.0180417,2158
0.0180833,2179
0.018125,2143
0.0181667,2067
0.0182083,1944
0.01825,1770
0.0182917,1570
0.0183333,1371
0.018375,1167
0.0184167,958
0.0184583,787
0.0185,664
0.0185417,604
0.0185833,615
0.018625,705
0.0186667,865
0.0187083,1103
0.01875,1435
0.0187917,1854
0.0188333,2349
0.018875,2919
0.0189167,3562
0.0189583,4271
0.019,5029
0.0190417,5823
0.0190833,6654
0.019125,7513
0.0191667,8168
0.0192083,8179
0.01925,8179
0.0192917,8179
0.0193333,8179
0.019375,8179
0.0194167,8179
0.0194583,8179
0.0195,8179
0.0195417,8179
0.0195833,8179
0.019625,8179
0.0196667,8179
0.0197083,8179
0.01975,8179
0.0197917,8179
0.0198333,8179
0.019875,8179
0.0199167,8179
0.0199583,8179
0.02,8179
0.0200417,8179
0.0200833,8179
0.020125,8179
0.0201667,8179
0.0202083,8179
0.02025,8179
0.0202917,8179
0.0203333,8179
0.020375,7910
0.0204167,7071
0.0204583,6180
0.0205,5225
0.0205417,4229
0.0205833,3220
0.020625,2192
0.0206667,1151
0.0207083,125
0.02075,-860
0.0207917,-1807
0.0208333,-2703
0.020875,-3537
0.0209167,-4282
0.0209583,-4938
0.021,-5518
0.0210417,-6006
0.0210833,-6395
0.021125,-6680
0.0211667,-6873
0.0212083,-6969
0.02125,-6975
0.0212917,-6909
0.0213333,-6768
0.021375,-6544
0.0214167,-6240
0.0214583,-5870
0.0215,-5440
0.0215417,-4982
0.0215833,-4508
0.021625,-4022
0.0216667,-3505
0.0217083,-2974
0.02175,-2451
