с,code
0,40
4.16667E-05,43
8.33333E-05,36
0.000125,31
0.000166667,30
0.000208333,30
0.00025,27
0.000291667,27
0.000333333,33
0.000375,31
0.000416667,27
0.000458333,30
0.0005,37
0.000541667,38
0.000583333,27
0.000625,28
0.000666667,34
0.000708333,30
0.00075,17
0.000791667,14
0.000833333,28
0.000875,23
0.000916667,-1
0.000958333,-8
0.001,9
0.00104167,13
0.00108333,-14
0.001125,-29
0.00116667,-23
0.00120833,-20
0.00125,-31
0.00129167,-32
0.00133333,-20
0.001375,-30
0.00141667,-41
0.00145833,-23
0.0015,-5
0.00154167,-14
0.00158333,-23
0.001625,-5
0.00166667,9
0.00170833,-6
0.00175,-5
0.00179167,24
0.00183333,35
0.001875,11
0.00191667,11
0.00195833,55
0.002,76
0.00204167,55
0.00208333,50
0.002125,60
0.00216667,57
0.00220833,54
0.00225,86
0.00229167,122
0.00233333,116
0.002375,90
0.00241667,90
0.00245833,101
0.0025,98
0.00254167,78
0.00258333,79
0.002625,117
0.00266667,176
0.00270833,249
0.00275,313
0.00279167,335
0.00283333,313
0.002875,269
0.00291667,237
0.00295833,251
0.003,317
0.00304167,393
0.00308333,474
0.003125,609
0.00316667,791
0.00320833,933
0.00325,1021
0.00329167,1144
0.00333333,1322
0.003375,1457
0.00341667,1577
0.00345833,1788
0.0035,2045
0.00354167,2248
0.00358333,2442
0.003625,2711
0.00366667,2997
0.00370833,3198
0.00375,3372
0.00379167,3585
0.00383333,3811
0.003875,4030
0.00391667,4283
0.00395833,4582
0.004,4903
0.00404167,5215
0.00408333,5526
0.004125,5827
0.00416667,6073
0.00420833,6234
0.00425,6365
0.00429167,6517
0.00433333,6660
0.004375,6732
0.00441667,6770
0.00445833,6832
0.0045,6870
0.00454167,6823
0.00458333,6712
0.004625,6533
0.00466667,6217
0.00470833,5739
0.00475,5155
0.00479167,4486
0.00483333,3697
0.004875,2842
0.00491667,1978
0.00495833,1062
0.005,37
0.00504167,-1082
0.00508333,-2281
0.005125,-3587
0.00516667,-5058
0.00520833,-6674
0.00525,-8079
0.00529167,-8202
0.00533333,-8202
0.005375,-8202
0.00541667,-8202
0.00545833,-8202
0.0055,-8202
0.00554167,-8202
0.00558333,-8202
0.005625,-8202
0.00566667,-8202
0.00570833,-8202
0.00575,-8202
0.00579167,-8202
0.00583333,-8202
0.005875,-8202
0.00591667,-8202
0.00595833,-8202
0.006,-8202
0.00604167,-8202
