с,code
0,31
4.16667E-05,41
8.33333E-05,55
0.000125,71
0.000166667,78
0.000208333,83
0.00025,89
0.000291667,100
0.000333333,109
0.000375,114
0.000416667,127
0.000458333,137
0.0005,143
0.000541667,145
0.000583333,149
0.000625,136
0.000666667,102
0.000708333,80
0.00075,72
0.000791667,50
0.000833333,22
0.000875,8
0.000916667,4
0.000958333,-13
0.001,-24
0.00104167,-28
0.00108333,-32
0.001125,-46
0.00116667,-62
0.00120833,-74
0.00125,-84
0.00129167,-96
0.00133333,-103
0.001375,-100
0.00141667,-96
0.00145833,-95
0.0015,-98
0.00154167,-88
0.00158333,-79
0.001625,-95
0.00166667,-120
0.00170833,-130
0.00175,-136
0.00179167,-156
0.00183333,-176
0.001875,-185
0.00191667,-186
0.00195833,-199
0.002,-217
0.00204167,-227
0.00208333,-241
0.002125,-272
0.00216667,-303
0.00220833,-328
0.00225,-362
0.00229167,-395
0.00233333,-430
0.002375,-463
0.00241667,-492
0.00245833,-519
0.0025,-550
0.00254167,-583
0.00258333,-602
0.002625,-610
0.00266667,-603
0.00270833,-584
0.00275,-559
0.00279167,-523
0.00283333,-461
0.002875,-393
0.00291667,-313
0.00295833,-274
0.003,-192
0.00304167,-35
0.00308333,30
0.003125,87
0.00316667,269
0.00320833,507
0.00325,603
0.00329167,626
0.00333333,814
0.003375,1035
0.00341667,1074
0.00345833,1064
0.0035,1188
0.00354167,1363
0.00358333,1386
0.003625,1337
0.00366667,1454
0.00370833,1647
0.00375,1734
0.00379167,1734
0.00383333,1774
0.003875,1830
0.00391667,1818
0.00395833,1804
0.004,1847
0.00404167,1916
0.00408333,1980
0.004125,2049
0.00416667,2183
0.00420833,2333
0.00425,2450
0.00429167,2543
0.00433333,2620
0.004375,2617
0.00441667,2586
0.00445833,2559
0.0045,2594
0.00454167,2664
0.00458333,2673
0.004625,2662
0.00466667,2703
0.00470833,2786
0.00475,2742
0.00479167,2615
0.00483333,2538
0.004875,2496
0.00491667,2402
0.00495833,2274
0.005,2179
0.00504167,2130
0.00508333,2110
0.005125,2085
0.00516667,2027
0.00520833,1997
0.00525,1991
0.00529167,1948
0.00533333,1812
0.005375,1647
0.00541667,1542
0.00545833,1376
0.0055,1131
0.00554167,930
0.00558333,765
0.005625,468
0.00566667,50
0.00570833,-302
0.00575,-628
0.00579167,-1092
0.00583333,-1597
0.005875,-2013
0.00591667,-2459
0.00595833,-2990
0.006,-3445
0.00604167,-3846
0.00608333,-4291
0.006125,-4626
0.00616667,-4889
0.00620833,-5235
0.00625,-5534
0.00629167,-5545
0.00633333,-5453
0.006375,-5506
0.00641667,-5511
0.00645833,-5247
0.0065,-4932
0.00654167,-4720
0.00658333,-4426
0.006625,-3943
0.00666667,-3392
0.00670833,-2923
0.00675,-2461
0.00679167,-1864
0.00683333,-1164
0.006875,-499
0.00691667,130
0.00695833,826
0.007,1562
0.00704167,2229
0.00708333,2865
0.007125,3547
0.00716667,4186
0.00720833,4696
0.00725,5229
0.00729167,5805
0.00733333,6273
0.007375,6614
0.00741667,6946
0.00745833,7284
0.0075,7518
0.00754167,7613
0.00758333,7648
0.007625,7609
0.00766667,7401
0.00770833,7041
0.00775,6738
0.00779167,6471
0.00783333,6081
0.007875,5612
0.00791667,5197
0.00795833,4794
0.008,4255
0.00804167,3727
0.00808333,3311
0.008125,2833
0.00816667,2281
0.00820833,1781
0.00825,1352
0.00829167,899
0.00833333,403
0.008375,-27
0.00841667,-369
0.00845833,-687
0.0085,-1010
0.00854167,-1282
0.00858333,-1491
0.008625,-1680
0.00866667,-1886
0.00870833,-2059
0.00875,-2195
0.00879167,-2367
0.00883333,-2551
0.008875,-2667
0.00891667,-2743
0.00895833,-2894
0.009,-3038
0.00904167,-3085
0.00908333,-3159
0.009125,-3294
0.00916667,-3380
0.00920833,-3408
0.00925,-3524
0.00929167,-3735
0.00933333,-3895
0.009375,-4004
0.00941667,-4132
0.00945833,-4322
0.0095,-4520
0.00954167,-4652
0.00958333,-4758
0.009625,-4935
0.00966667,-5161
0.00970833,-5314
0.00975,-5412
0.00979167,-5606
0.00983333,-5841
0.009875,-5973
0.00991667,-6075
0.00995833,-6139
0.01,-6205
0.0100417,-6298
0.0100833,-6298
0.010125,-6209
0.0101667,-6200
0.0102083,-6253
0.01025,-6124
0.0102917,-5878
0.0103333,-5800
0.010375,-5808
0.0104167,-5589
0.0104583,-5270
0.0105,-5149
0.0105417,-5068
0.0105833,-4792
0.010625,-4473
0.0106667,-4323
0.0107083,-4242
0.01075,-4022
0.0107917,-3734
0.0108333,-3604
0.010875,-3552
0.0109167,-3443
0.0109583,-3346
0.011,-3336
0.0110417,-3402
0.0110833,-3434
0.011125,-3484
0.0111667,-3682
0.0112083,-3886
0.01125,-3992
0.0112917,-4170
0.0113333,-4468
0.011375,-4685
0.0114167,-4793
0.0114583,-4975
0.0115,-5247
0.0115417,-5395
0.0115833,-5433
0.011625,-5513
0.0116667,-5576
0.0117083,-5550
0.01175,-5437
0.0117917,-5288
0.0118333,-5105
0.011875,-4850
0.0119167,-4538
0.0119583,-4264
0.012,-4043
0.0120417,-3747
0.0120833,-3363
0.012125,-3010
0.0121667,-2692
0.0122083,-2314
0.01225,-1867
0.0122917,-1441
0.0123333,-1038
0.012375,-583
0.0124167,-121
0.0124583,293
0.0125,659
0.0125417,1022
0.0125833,1447
0.012625,1875
0.0126667,2239
0.0127083,2598
0.01275,3008
0.0127917,3371
0.0128333,3643
0.012875,3905
0.0129167,4202
0.0129583,4408
0.013,4433
0.0130417,4404
0.0130833,4396
0.013125,4367
0.0131667,4223
0.0132083,3974
0.01325,3685
0.0132917,3383
0.0133333,2994
0.013375,2525
0.0134167,2048
0.0134583,1592
0.0135,1060
0.0135417,511
0.0135833,101
0.013625,-252
0.0136667,-675
0.0137083,-1037
0.01375,-1177
0.0137917,-1239
0.0138333,-1377
0.013875,-1405
0.0139167,-1219
0.0139583,-1046
0.014,-949
0.0140417,-711
0.0140833,-279
0.014125,95
0.0141667,339
0.0142083,605
0.01425,983
0.0142917,1363
0.0143333,1630
0.014375,1819
0.0144167,2007
0.0144583,2168
0.0145,2254
0.0145417,2283
0.0145833,2303
0.014625,2306
0.0146667,2201
0.0147083,2078
0.01475,2036
0.0147917,1965
0.0148333,1821
0.014875,1715
0.0149167,1692
0.0149583,1616
0.015,1490
0.0150417,1484
0.0150833,1528
0.015125,1446
0.0151667,1324
0.0152083,1281
0.01525,1240
0.0152917,1126
0.0153333,1001
0.015375,918
0.0154167,808
0.0154583,618
0.0155,389
0.0155417,201
0.0155833,7
0.015625,-325
0.0156667,-731
0.0157083,-990
0.01575,-1137
0.0157917,-1422
0.0158333,-1774
0.015875,-1873
0.0159167,-1841
0.0159583,-1923
0.016,-2003
0.0160417,-1888
0.0160833,-1657
0.016125,-1496
0.0161667,-1343
0.0162083,-1025
0.01625,-599
0.0162917,-246
0.0163333,84
0.016375,553
0.0164167,1100
0.0164583,1481
0.0165,1738
0.0165417,2075
0.0165833,2435
0.016625,2649
0.0166667,2783
0.0167083,2929
0.01675,3001
0.0167917,2932
0.0168333,2849
0.016875,2806
0.0169167,2661
0.0169583,2378
0.017,2116
0.0170417,1927
0.0170833,1693
0.017125,1403
0.0171667,1180
0.0172083,1008
0.01725,801
0.0172917,579
0.0173333,430
0.017375,368
0.0174167,301
0.0174583,180
0.0175,102
0.0175417,118
0.0175833,120
0.017625,0
0.0176667,-124
0.0177083,-151
0.01775,-239
0.0177917,-469
0.0178333,-699
0.017875,-685
0.0179167,-847
0.0179583,-1117
0.018,-1377
0.0180417,-1519
0.0180833,-1606
0.018125,-1460
0.0181667,-941
0.0182083,-363
0.01825,168
0.0182917,640
0.0183333,1053
0.018375,1414
0.0184167,1727
0.0184583,1996
0.0185,2228
0.0185417,2425
0.0185833,2589
0.018625,2725
0.0186667,2838
0.0187083,2927
0.01875,2996
0.0187917,3047
0.0188333,3084
0.018875,3106
0.0189167,3113
0.0189583,3111
0.019,3097
0.0190417,3078
0.0190833,3049
0.019125,3016
0.0191667,2975
0.0192083,2932
0.01925,2883
0.0192917,2830
0.0193333,2775
0.019375,2718
0.0194167,2659
0.0194583,2599
0.0195,2537
0.0195417,2476
0.0195833,2413
0.019625,2350
0.0196667,2289
0.0197083,2227
0.01975,2164
0.0197917,2102
0.0198333,2043
0.019875,1981
0.0199167,1922
0.0199583,1864
0.02,1808
0.0200417,1751
0.0200833,1697
0.020125,1644
0.0201667,1591
0.0202083,1538
0.02025,1489
0.0202917,1442
0.0203333,1392
0.020375,1349
0.0204167,1302
0.0204583,1261
0.0205,1219
0.0205417,1178
0.0205833,1142
0.020625,1101
0.0206667,1065
0.0207083,1027
0.02075,993
0.0207917,959
0.0208333,927
0.020875,898
0.0209167,867
0.0209583,838
0.021,810
0.0210417,785
0.0210833,758
0.021125,731
0.0211667,709
0.0212083,685
0.02125,664
0.0212917,640
0.0213333,619
0.021375,600
0.0214167,581
0.0214583,562
0.0215,543
