,code
447,-1457.0
448,-1296.0
449,-1156.0
450,-1039.0
451,-952.0
452,-889.0
453,-835.0
454,-790.0
455,-727.0
456,-639.0
457,-534.0
458,-421.0
459,-283.0
460,-130.0
461,34.0
462,216.0
463,444.0
464,715.0
465,995.0
466,1290.0
467,1585.0
468,1846.0
469,2044.0
470,2199.0
471,2282.0
472,2297.0
473,2250.0
474,2137.0
475,1966.0
476,1726.0
477,1411.0
478,1028.0
479,597.0
480,142.0
481,-325.0
482,-755.0
483,-1102.0
484,-1377.0
485,-1590.0
486,-1724.0
487,-1755.0
488,-1693.0
489,-1577.0
490,-1421.0
491,-1210.0
492,-934.0
493,-607.0
494,-264.0
495,105.0
496,513.0
497,935.0
498,1340.0
499,1699.0
500,2007.0
501,2260.0
502,2467.0
503,2625.0
504,2705.0
505,2706.0
506,2642.0
507,2487.0
508,2217.0
509,1854.0
510,1433.0
511,959.0
512,464.0
513,24.0
514,-330.0
515,-619.0
516,-834.0
517,-940.0
518,-933.0
519,-856.0
520,-746.0
521,-617.0
522,-441.0
523,-213.0
524,49.0
525,355.0
526,717.0
527,1096.0
528,1418.0
529,1639.0
530,1743.0
531,1701.0
532,1507.0
533,1216.0
534,849.0
535,384.0
536,-172.0
537,-767.0
538,-1365.0
539,-1951.0
540,-2488.0
541,-2944.0
542,-3279.0
543,-3484.0
544,-3553.0
545,-3479.0
546,-3273.0
547,-2958.0
548,-2555.0
549,-2071.0
550,-1526.0
551,-950.0
552,-357.0
553,257.0
554,886.0
555,1515.0
556,2137.0
557,2751.0
558,3344.0
559,3893.0
560,4363.0
561,4744.0
562,5006.0
563,5133.0
564,5101.0
565,4879.0
566,4437.0
567,3788.0
568,2996.0
569,2105.0
570,1148.0
571,162.0
572,-787.0
573,-1647.0
574,-2381.0
575,-2957.0
576,-3377.0
577,-3662.0
578,-3826.0
579,-3856.0
580,-3749.0
581,-3531.0
582,-3250.0
583,-2933.0
584,-2608.0
585,-2300.0
586,-2021.0
587,-1776.0
588,-1605.0
589,-1516.0
590,-1492.0
591,-1519.0
592,-1591.0
593,-1711.0
594,-1858.0
595,-1991.0
596,-2084.0
597,-2133.0
598,-2136.0
599,-2066.0
600,-1914.0
601,-1712.0
602,-1489.0
603,-1230.0
604,-923.0
605,-577.0
606,-216.0
607,166.0
608,573.0
609,990.0
610,1392.0
611,1784.0
612,2178.0
613,2567.0
614,2917.0
615,3216.0
616,3474.0
617,3694.0
618,3829.0
619,3836.0
620,3740.0
621,3544.0
622,3201.0
623,2715.0
624,2140.0
625,1516.0
626,866.0
627,236.0
628,-320.0
629,-790.0
630,-1175.0
631,-1481.0
632,-1691.0
633,-1795.0
634,-1808.0
635,-1763.0
636,-1662.0
637,-1501.0
638,-1307.0
639,-1115.0
640,-906.0
641,-679.0
642,-464.0
643,-267.0
644,-99.0
645,44.0
646,140.0
647,179.0
648,175.0
649,114.0
650,-9.0
651,-188.0
652,-403.0
653,-627.0
654,-845.0
655,-1050.0
656,-1217.0
657,-1305.0
658,-1309.0
659,-1266.0
660,-1201.0
661,-1079.0
662,-872.0
663,-598.0
664,-279.0
665,76.0
666,439.0
667,799.0
668,1151.0
669,1501.0
670,1842.0
671,2144.0
672,2402.0
673,2626.0
674,2804.0
675,2899.0
676,2884.0
677,2781.0
678,2623.0
679,2407.0
680,2105.0
681,1709.0
682,1264.0
683,802.0
684,321.0
685,-181.0
686,-671.0
687,-1123.0
688,-1511.0
689,-1810.0
690,-2019.0
691,-2158.0
692,-2222.0
693,-2193.0
694,-2060.0
695,-1853.0
696,-1626.0
697,-1382.0
698,-1116.0
699,-842.0
700,-600.0
701,-412.0
702,-279.0
703,-223.0
704,-249.0
705,-345.0
706,-507.0
707,-726.0
708,-994.0
709,-1282.0
710,-1553.0
711,-1796.0
712,-2016.0
713,-2204.0
714,-2349.0
715,-2439.0
716,-2474.0
717,-2437.0
718,-2310.0
719,-2114.0
720,-1889.0
721,-1637.0
722,-1343.0
723,-1023.0
724,-704.0
725,-395.0
726,-61.0
727,294.0
728,640.0
729,956.0
730,1265.0
731,1582.0
732,1875.0
733,2096.0
734,2263.0
735,2423.0
736,2561.0
737,2651.0
738,2697.0
739,2710.0
740,2695.0
741,2632.0
742,2563.0
743,2523.0
744,2509.0
745,2520.0
746,2537.0
747,2574.0
748,2679.0
749,2864.0
750,3089.0
751,3351.0
752,3697.0
753,4101.0
754,4502.0
755,4899.0
756,5318.0
757,5717.0
758,5990.0
759,6133.0
760,6196.0
761,6153.0
762,5948.0
763,5572.0
764,5112.0
765,4618.0
766,4016.0
767,3259.0
768,2417.0
769,1487.0
770,457.0
771,-614.0
772,-1607.0
773,-2476.0
774,-3281.0
775,-3991.0
776,-4547.0
777,-4982.0
778,-5330.0
779,-5557.0
780,-5648.0
781,-5653.0
782,-5615.0
783,-5543.0
784,-5479.0
785,-5457.0
786,-5449.0
787,-5412.0
788,-5397.0
789,-5429.0
